time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/value_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,eval/mean_ep_length,eval/mean_reward
12,772,31,-18.211,24576,83.11,110,0.0029836400670319565,0.2,-0.008986027189530432,0.084912109375,-0.003629150800406933,-0.3058596085757017,0.011600038,0.0003,0.6297761797904968,,
13,772,34,-18.955000000000002,26624,90.55,120,0.004280342126367032,0.2,-0.008092683016730006,0.06650390625,6.500980816781521e-05,-0.2786000088788569,0.006355062,0.0003,0.47209715843200684,,
14,772,37,-19.815000000000005,28672,99.15,130,0.008914435115002561,0.2,-0.011938620696309955,0.0734375,-0.03446817770600319,-0.26657165349461137,0.013787465,0.0003,0.03223210573196411,,
,,,,30000,,140,0.0012878139038548398,0.2,-0.003616231093474198,0.04921875,-0.02874893508851528,-0.2521605004556477,0.012441352,0.0003,0.5668795108795166,45.0,-14.4
15,769,39,-20.78,30720,108.8,,,,,,,,,,,,
16,770,42,-21.807999999999996,32768,119.08,150,0.00029533079919019656,0.2,-0.006034130239277147,0.053857421875,0.006005056668072939,-0.20018316549248993,0.0028613037,0.0003,0.7955470681190491,,
17,770,45,-22.727000000000004,34816,128.27,160,0.00021338826752526074,0.2,-0.0036487784120254217,0.036181640625,-0.016032781451940536,-0.22329262243583797,0.0018653262,0.0003,0.8104332089424133,,
18,770,47,-23.606000000000005,36864,137.06,170,0.00013058496518851824,0.2,-0.003460111284221057,0.04130859375,-0.0089785261079669,-0.21745563726872205,0.002547766,0.0003,0.8246293663978577,,
19,770,50,-24.233000000000008,38912,143.33,180,0.00010568834568402963,0.2,-0.005714155751047656,0.043359375,-0.01480565220117569,-0.20888546160422267,0.0043734084,0.0003,0.7821594476699829,,
,,,,40000,,190,6.385660972227925e-05,0.2,-0.012183117939275689,0.05693359375,-0.006817599292844534,-0.20360483918339015,0.018143792,0.0003,0.6748168468475342,158.6,-25.76
20,763,53,-25.272999999999996,40960,153.73,,,,,,,,,,,,
21,762,56,-25.277,43008,153.77,200,0.00015886281207713182,0.2,-0.004772805809625425,0.039013671875,0.010770358145236969,-0.18938077832572162,0.018200032,0.0003,0.14879029989242554,,
22,762,59,-24.948999999999998,45056,150.49,210,3.0944395305709804e-05,0.2,-0.005232419405365363,0.03330078125,-0.0068682534620165825,-0.17411907194182277,0.0042810733,0.0003,0.5335431098937988,,
23,762,61,-25.073999999999998,47104,151.74,220,5.520764390780642e-05,0.2,-0.00045823004038538786,0.0123046875,0.015184808522462845,-0.16219429546035827,0.0020057056,0.0003,0.19831478595733643,,
24,762,64,-23.97,49152,140.7,230,5.7024288958018586e-05,0.2,-0.0028320302371867,0.033935546875,-0.0026172080542892218,-0.17395663266070188,0.003235965,0.0003,0.47006046772003174,,
,,,,50000,,240,3.406638441845189e-05,0.2,-0.002672410078230314,0.021142578125,0.0036699227057397366,-0.16354951614048333,0.0012454422,0.0003,0.3492668867111206,45.0,-14.4
25,761,67,-21.691000000000003,51200,117.91,,,,,,,,,,,,
26,760,70,-20.291,53248,103.91,250,2.8864345051715645e-05,0.2,-0.0010051521399873308,0.01611328125,0.0006647449336014688,-0.11617574170231819,0.001231266,0.0003,0.4915958642959595,,
27,759,72,-20.111000000000004,55296,102.11,260,4.551549311031522e-05,0.2,-0.0002063323714537546,0.012841796875,-0.007770109921693802,-0.14037921954877675,0.0020635575,0.0003,0.31342965364456177,,
28,759,75,-17.844000000000005,57344,79.44,270,2.7187506671566552e-05,0.2,-0.003935804218053817,0.022998046875,-0.0028064625803381205,-0.12186025164555758,0.0011841569,0.0003,0.5026296377182007,,
29,759,78,-17.804000000000006,59392,79.04,280,1.86015021000685e-05,0.2,-0.0017129616724560037,0.0078125,0.0027691791765391827,-0.08078196222195402,0.00054745283,0.0003,0.2385159134864807,,
,,,,60000,,290,1.9704502179251904e-05,0.2,-0.0007700329297222197,0.01259765625,-0.000862283690366894,-0.09081822647713125,0.0006029089,0.0003,0.18201619386672974,45.0,-14.4
30,758,80,-15.962000000000005,61440,60.62,,,,,,,,,,,,
31,758,83,-16.672000000000004,63488,67.72,300,1.1895266967343332e-05,0.2,0.00035551543696783484,0.015478515625,-0.0038793322164565325,-0.05186701301281573,0.0074176705,0.0003,-0.4674485921859741,,
32,759,86,-17.098000000000003,65536,71.98,310,1.5695663327619515e-05,0.2,-0.003312728420132771,0.023388671875,-0.0064011518843472,-0.12058661393821239,0.0032790783,0.0003,-0.27634572982788086,,
33,760,88,-17.666,67584,77.66,320,1.2636349711669937e-05,0.2,-0.0008113099000183865,0.009326171875,-0.00839723739773035,-0.11557670864276588,0.0009999353,0.0003,-0.1587141752243042,,
34,761,91,-18.660000000000004,69632,87.6,330,2.2807293900939386e-05,0.2,-0.003408227235195227,0.02021484375,-0.0039505744352936745,-0.1251839506207034,0.0011180158,0.0003,-0.5326780080795288,,
,,,,70000,,340,1.1436364705730284e-05,0.2,-0.0023155563772888853,0.012109375,-0.0020482412073761225,-0.10682482989504934,0.0010114718,0.0003,0.14054512977600098,45.0,-14.4
35,760,94,-19.228,71680,93.28,,,,,,,,,,,,
36,761,96,-19.228000000000005,73728,93.28,350,2.071406938881637e-05,0.2,-0.00303761096438393,0.017333984375,0.002962560160085559,-0.09964864277280867,0.0015416259,0.0003,-0.17517757415771484,,
37,761,99,-19.086000000000002,75776,91.86,360,1.123895499546279e-05,0.2,-0.0032422480639070273,0.016943359375,-0.00926526915282011,-0.12041955396998674,0.0012018383,0.0003,0.19455420970916748,,
38,761,102,-19.086000000000002,77824,91.86,370,7.134258873264798e-06,0.2,-0.002753039452363737,0.0134765625,-0.004825224634259939,-0.07067463933490217,0.0010991462,0.0003,0.17627441883087158,,
39,761,104,-19.370000000000005,79872,94.7,380,2.95393839735425e-05,0.2,-0.004393969364173245,0.01923828125,0.0038312070537358522,-0.11849175319075585,0.0012709366,0.0003,-0.19084429740905762,,
,,,,80000,,390,9.973522708150995e-06,0.2,-0.0036627982888603585,0.02041015625,-0.005768612027168274,-0.12060717844869942,0.00170926,0.0003,-0.5193880796432495,45.0,-14.4
40,761,107,-18.660000000000004,81920,87.6,,,,,,,,,,,,
41,761,110,-18.660000000000004,83968,87.6,400,9.96218542184124e-06,0.2,0.0013486807045410387,0.015576171875,-0.0014132172800600529,-0.06489465999766253,0.0023065289,0.0003,-0.2079683542251587,,
42,761,112,-17.524000000000004,86016,76.24,410,4.755419043078746e-06,0.2,-0.0006242052942980081,0.01435546875,0.0012146218214184046,-0.07270204246160575,0.00097165036,0.0003,0.1083756685256958,,
43,762,115,-16.956000000000003,88064,70.56,420,1.7639372454425484e-05,0.2,0.0018477704317774624,0.010400390625,-0.00022343984164763242,-0.08352158593479544,0.0032521165,0.0003,-0.7701712846755981,,
,,,,90000,,430,1.7014621560917932e-05,0.2,0.000516313269326929,0.009716796875,-0.003407788462936878,-0.08718386782566086,0.0007680764,0.0003,-0.22175312042236328,45.0,-14.4
44,761,118,-16.956000000000003,90112,70.56,,,,,,,,,,,,
45,762,120,-16.814000000000007,92160,69.14,440,8.614676707452417e-06,0.2,0.0013154291518731043,0.015771484375,-0.014178790152072906,-0.09099798781098797,0.0022093286,0.0003,-0.014423012733459473,,
46,762,123,-16.104000000000006,94208,62.04,450,4.44476296976859e-06,0.2,0.0007597270639962516,0.01005859375,0.01849733665585518,-0.06472696578130126,0.0014411847,0.0003,-1.541745901107788,,
47,762,126,-16.672000000000004,96256,67.72,460,4.00764494159489e-06,0.2,-0.005591147126688156,0.028173828125,-0.023068055510520935,-0.06632418013177813,0.0068542855,0.0003,-0.14364194869995117,,
48,763,128,-16.672000000000004,98304,67.72,470,2.0313357756052142e-05,0.2,-0.00047960495576262476,0.01787109375,0.0020902964752167463,-0.11260077360784634,0.001182429,0.0003,-0.3107943534851074,,
,,,,100000,,480,9.280765692665226e-06,0.2,-0.0012338273401837796,0.015673828125,-0.009706810116767883,-0.07538252373924478,0.002493787,0.0003,0.34524911642074585,101.8,-20.080000000000005
49,761,131,-17.524000000000004,100352,76.24,,,,,,,,,,,,
50,762,134,-17.808000000000003,102400,79.08,490,1.5489235512688992e-05,0.2,-0.00015019315760582684,0.0580078125,-0.03696814924478531,-0.10842377663357183,0.018560417,0.0003,0.4483898878097534,,
51,762,137,-17.240000000000006,104448,73.4,500,2.6086137522618456e-05,0.2,0.0023415271687554197,0.01650390625,0.0031158379279077053,-0.06552032989566214,0.0026825815,0.0003,0.7431590557098389,,
52,762,139,-16.956000000000003,106496,70.56,510,4.7227733112720214e-06,0.2,-0.0013470146688632667,0.04033203125,-0.032275889068841934,-0.09866557569475845,0.0025572702,0.0003,0.6080455780029297,,
53,762,142,-17.382,108544,74.82,520,6.067163965184363e-06,0.2,-0.0009478636929998174,0.02109375,-0.0023628845810890198,-0.10938734617084264,0.0022719656,0.0003,0.4872605800628662,,
,,,,110000,,530,4.785424548714446e-06,0.2,0.001025301666231826,0.020263671875,-0.01021689735352993,-0.09664355622371659,0.0016031602,0.0003,-0.04432690143585205,73.4,-17.240000000000002
54,761,145,-18.233999999999998,110592,83.34,,,,,,,,,,,,
55,762,147,-18.944000000000006,112640,90.44,540,0.0001475273740826566,0.2,0.0010833084656042048,0.041796875,0.014960275031626225,-0.13760086346883327,0.002642355,0.0003,0.03612428903579712,,
56,762,150,-19.228,114688,93.28,550,2.041472047409343e-06,0.2,-0.0007912699686130509,0.0185546875,0.019273141399025917,-0.10927306920057163,0.0007867137,0.0003,-0.4087561368942261,,
57,762,153,-19.228,116736,93.28,560,2.291373451512868e-06,0.2,-0.0003478394661215134,0.028173828125,-0.007618389092385769,-0.09830208360217511,0.0025268286,0.0003,0.17330610752105713,,
58,762,155,-17.950000000000003,118784,80.5,570,2.370529743345173e-06,0.2,0.0009712360799312592,0.02763671875,6.629023118875921e-05,-0.1368256194284186,0.004776823,0.0003,0.1605224609375,,
,,,,120000,,580,1.6342735285057586e-06,0.2,0.001793406394426711,0.0169921875,-0.01281354296952486,-0.05931012640357949,0.0044946107,0.0003,-0.620566725730896,73.4,-17.240000000000002
59,761,158,-17.808000000000003,120832,79.08,,,,,,,,,,,,
60,761,161,-17.524000000000004,122880,76.24,590,1.3762920140081292e-05,0.2,0.0018133793084416539,0.024853515625,0.00024906900944188237,-0.10910931597463787,0.0013891746,0.0003,0.03980296850204468,,
61,761,164,-16.956000000000003,124928,70.56,600,3.3233811073074546e-05,0.2,-0.0001928933648741804,0.013134765625,-0.00398113951086998,-0.10552078344626352,0.0015792171,0.0003,0.338453471660614,,
62,761,166,-18.092000000000002,126976,81.92,610,1.5013861755619474e-06,0.2,0.0002284430622239597,0.010595703125,0.005119453649967909,-0.055588285461999475,0.0011597651,0.0003,0.06003415584564209,,
63,762,169,-16.814000000000007,129024,69.14,620,6.598855239658974e-06,0.2,-0.0015101126686204226,0.0201171875,-0.013722313567996025,-0.13354556828271597,0.00093466317,0.0003,0.28806304931640625,,
,,,,130000,,630,7.664126209228073e-07,0.2,0.001079896537703462,0.018994140625,0.0009287204593420029,-0.06401130141457542,0.0054285573,0.0003,0.3337972164154053,73.4,-17.240000000000002
64,761,172,-17.098000000000003,131072,71.98,,,,,,,,,,,,
65,762,174,-17.382,133120,74.82,640,7.373044996938915e-06,0.2,-0.0020709590608021244,0.01533203125,-0.008187615312635899,-0.07867297399789094,0.0020884606,0.0003,0.047061383724212646,,
66,762,177,-17.95,135168,80.5,650,4.703228843006002e-06,0.2,0.0009361440010252408,0.018115234375,-0.000167878795764409,-0.09866117002675309,0.0011444716,0.0003,-0.0978693962097168,,
67,762,180,-19.086000000000002,137216,91.86,660,4.9674647941699845e-06,0.2,-0.0006111058712122031,0.022509765625,-0.005124705843627453,-0.11875610275892541,0.0035356872,0.0003,-0.8209646940231323,,
68,761,182,-19.228000000000005,139264,93.28,670,7.312154342908883e-05,0.2,0.0020583513090969064,0.02138671875,-0.0025668516755104065,-0.12419373043812812,0.0011720352,0.0003,-0.18416225910186768,,
,,,,140000,,680,1.5455435187661237e-06,0.2,-0.0012187333282781764,0.025390625,0.0015468919882550836,-0.1054801060585305,0.0016828752,0.0003,-0.779670000076294,73.4,-17.240000000000002
69,760,185,-19.654000000000007,141312,97.54,,,,,,,,,,,,
70,759,188,-18.518000000000004,143360,86.18,690,2.473472260078324e-06,0.2,0.00039334062021225693,0.017431640625,-0.0019298773258924484,-0.08553550775395706,0.0013066484,0.0003,-0.10276925563812256,,
71,759,191,-17.240000000000006,145408,73.4,700,7.132302778600774e-06,0.2,0.0015611765411449596,0.029052734375,-0.011211042292416096,-0.0667929491319228,0.0047790455,0.0003,-0.21793031692504883,,
72,760,193,-16.672000000000008,147456,67.72,710,5.1917419080460545e-05,0.2,0.0008499331685015932,0.021875,0.01174277625977993,-0.06892988861654885,0.003104541,0.0003,-0.20168781280517578,,
73,759,196,-16.388000000000005,149504,64.88,720,1.1770842493596945e-06,0.2,-0.00046959942555986346,0.016748046875,-0.00044334473204798996,-0.0846830703667365,0.0007083036,0.0003,-0.24495995044708252,,
,,,,150000,,730,8.2126680398531e-07,0.2,0.00263135302811861,0.01552734375,0.007720228284597397,-0.0569441270083189,0.0012363808,0.0003,-0.1157078742980957,45.0,-14.4
74,759,199,-16.246000000000006,151552,63.46,,,,,,,,,,,,
75,759,202,-16.104000000000006,153600,62.04,740,6.608011221320709e-07,0.2,0.0012980008730664849,0.009326171875,-0.006070733070373535,-0.06461993988486939,0.0019881073,0.0003,-0.5714839696884155,,
76,759,204,-16.672000000000008,155648,67.72,750,3.0527182748496526e-05,0.2,0.002654766522755381,0.0166015625,0.022675011307001114,-0.07802376835606992,0.0013841636,0.0003,-0.3529289960861206,,
77,759,207,-17.382000000000005,157696,74.82,760,7.063248069982819e-07,0.2,-0.0011030883077182807,0.014208984375,0.006941909436136484,-0.0844572906033136,0.0014296267,0.0003,-0.25110721588134766,,
78,759,210,-17.666000000000007,159744,77.66,770,9.368259634712217e-07,0.2,0.0017372949223499745,0.038623046875,-0.018384281545877457,-0.10770746276248247,0.008802614,0.0003,-0.525322675704956,,
,,,,160000,,780,1.4198829493494714e-06,0.2,0.00029750134563073517,0.016650390625,-0.0075610727071762085,-0.09596818253630772,0.00238114,0.0003,-0.4216628074645996,45.0,-14.4
79,758,213,-16.814000000000007,161792,69.14,,,,,,,,,,,,
80,758,215,-15.962000000000005,163840,60.62,790,1.3725999405611589e-05,0.2,5.358773341868073e-05,0.009228515625,-0.01266118511557579,-0.03545530677365605,0.0027543828,0.0003,-0.8509900569915771,,
81,758,218,-14.968000000000007,165888,50.68,800,2.081655226060519e-06,0.2,0.002381998862256296,0.01708984375,0.0046193553134799,-0.0338727116213704,0.0063868733,0.0003,0.08894187211990356,,
82,758,221,-14.684000000000005,167936,47.84,810,1.8437827286277298e-06,0.2,0.0018460357008734719,0.007470703125,-0.010064960457384586,-0.024911182040159473,0.00029259984,0.0003,0.30605578422546387,,
83,758,224,-14.684000000000005,169984,47.84,820,1.5112024416730207e-06,0.2,-0.00012754214549204335,0.0056640625,0.0005048455786891282,-0.02495371303666616,0.0003537375,0.0003,0.4913434386253357,,
,,,,170000,,830,8.21476377055319e-07,0.2,4.7062445082701744e-05,0.0072265625,-0.0007618737290613353,-0.018360260941335582,0.0006730559,0.0003,0.4410136342048645,45.0,-14.4
84,757,226,-15.252000000000002,172032,53.52,,,,,,,,,,,,
85,757,229,-15.394000000000007,174080,54.94,840,3.4660509550121786e-05,0.2,0.0004282856607460417,0.019091796875,-0.006901068612933159,-0.07107775174663403,0.0024588292,0.0003,0.2486467957496643,,
86,757,232,-15.394000000000005,176128,54.94,850,2.2988090899289658e-06,0.2,-0.001267473420011811,0.009716796875,-0.010055865161120892,-0.028482990215707105,0.0018607506,0.0003,-1.3365635871887207,,
87,756,235,-14.968000000000004,178176,50.68,860,4.473144670447127e-06,0.2,0.019963647628901526,0.01650390625,-0.0038659959100186825,-0.027253903170230843,0.021772362,0.0003,0.39970600605010986,,
,,,,180000,,870,7.541260677701445e-07,0.2,0.011831724311923609,0.0341796875,0.01975775696337223,-0.06271278405329213,0.0057295375,0.0003,-0.48334670066833496,45.0,-14.4
88,756,238,-15.536000000000003,180224,56.36,,,,,,,,,,,,
89,756,240,-16.104000000000006,182272,62.04,880,1.8258744325372334e-05,0.2,0.0010615693267027383,0.01630859375,0.012157702818512917,-0.10159330975729972,0.0020731948,0.0003,-0.10128152370452881,,
90,755,243,-16.672000000000004,184320,67.72,890,1.3157306465227946e-06,0.2,0.002656398338149302,0.015576171875,-0.008505349978804588,-0.07088550144108012,0.0026841876,0.0003,-0.44625067710876465,,
91,755,246,-16.814000000000007,186368,69.14,900,2.333307161350717e-06,0.2,0.0019227443102863618,0.022216796875,0.004853866063058376,-0.13294131900183856,0.0023501446,0.0003,-0.47418057918548584,,
92,755,249,-17.098000000000003,188416,71.98,910,0.00017519102650886964,0.2,8.653491095174104e-05,0.013330078125,0.007062200456857681,-0.05836581985349767,0.0024896823,0.0003,-0.3185235261917114,,
,,,,190000,,920,7.032144851315536e-07,0.2,0.0009911829663906246,0.03671875,-0.01803584396839142,-0.09331315261078998,0.0030406052,0.0003,-0.4360407590866089,45.0,-14.4
93,754,252,-16.388000000000005,190464,64.88,,,,,,,,,,,,
94,754,255,-15.536000000000008,192512,56.36,930,3.3689106371248556e-07,0.2,-0.0018583943514386193,0.008740234375,0.0014784939121454954,-0.03455517602560576,0.0011970984,0.0003,-1.1639246940612793,,
95,754,257,-14.968000000000007,194560,50.68,940,3.4297454400977754e-07,0.2,0.001834750483976677,0.009716796875,0.06215134263038635,-0.028795848889785702,0.0012000094,0.0003,-1.180633544921875,,
96,754,260,-14.826000000000006,196608,49.26,950,3.226143865830977e-07,0.2,0.0004881944740191102,0.010546875,-0.006131060421466827,-0.02933961578710296,0.0012346948,0.0003,-0.4935905933380127,,
97,754,263,-15.110000000000007,198656,52.1,960,3.8361556380372975e-07,0.2,0.002690309809986502,0.01513671875,-6.455220136558637e-05,-0.042186976672383025,0.0015583634,0.0003,-0.05139446258544922,,
,,,,200000,,970,3.9980178727638816e-07,0.2,0.0006866801195428707,0.00859375,-0.00950738787651062,-0.03958862118015531,0.0007161168,0.0003,-1.1110601425170898,45.0,-14.4
98,754,265,-15.394000000000007,200704,54.94,,,,,,,,,,,,
99,754,268,-15.394000000000004,202752,54.94,980,5.034487831956369e-07,0.2,-0.0010312008555047214,0.014990234375,0.01968584954738617,-0.058639324828982355,0.001309468,0.0003,0.13903671503067017,,
100,754,271,-15.820000000000004,204800,59.2,990,3.6846443323135247e-06,0.2,0.0026080673385877164,0.0212890625,-0.009542294777929783,-0.05077020784665365,0.0031657126,0.0003,-0.041054606437683105,,
101,755,273,-15.678000000000006,206848,57.78,1000,4.4470943084018446e-06,0.2,-0.0004564994131214917,0.018701171875,0.017637208104133606,-0.06949735010275618,0.0026885062,0.0003,0.012176156044006348,,
102,755,276,-15.678000000000004,208896,57.78,1010,0.0001306589090214416,0.2,0.0015225378490868024,0.014013671875,-0.011785243637859821,-0.05420381882286165,0.001708472,0.0003,-1.5608899593353271,,
,,,,210000,,1020,3.4022841357561615e-07,0.2,0.00425322480732575,0.0220703125,-0.006791353691369295,-0.05275239527691156,0.0036895936,0.0003,-0.7792419195175171,45.0,-14.4
103,755,279,-15.962000000000005,210944,60.62,,,,,,,,,,,,
104,754,282,-15.536000000000008,212992,56.36,1030,3.533250904297347e-07,0.2,0.0016433245458756574,0.01552734375,0.0009361022966913879,-0.08684360263869166,0.00096126937,0.0003,-0.9879037141799927,,
105,754,284,-14.684000000000005,215040,47.84,1040,2.8805849079382994e-07,0.2,-0.0018616530753206462,0.0107421875,-0.007013757713139057,-0.016061659584283915,0.001675227,0.0003,-2.084768056869507,,
106,754,287,-14.400000000000007,217088,45.0,1050,2.619753236565714e-07,0.2,-0.000783774911542423,0.00126953125,-0.001204996951855719,-0.0010278592093222016,0.000118587195,0.0003,-1.9788496494293213,,
107,753,291,-14.400000000000007,219136,45.0,1060,2.4605251538467596e-07,0.2,-1.8408405594527722e-06,0.0,1.51728087871561e-07,-0.0002894089037406289,9.662472e-09,0.0003,-1.5244667530059814,,
,,,,220000,,1070,2.322665338283514e-07,0.2,-1.3140233932062983e-07,0.0,-1.2120329984099953e-06,-0.00014871026826193123,2.910383e-10,0.0003,-1.5987417697906494,45.0,-14.4
108,752,294,-14.542000000000007,221184,46.42,,,,,,,,,,,,
109,751,297,-14.542000000000007,223232,46.42,1080,3.7702389431171215e-05,0.2,0.0009701780043542385,0.01162109375,0.0002519704576116055,-0.02385062442349799,0.0009408484,0.0003,0.283805251121521,,
110,751,299,-14.400000000000007,225280,45.0,1090,3.358942631592754e-07,0.2,-2.0744204812217502e-05,0.0,-9.621137451176764e-07,-0.00021166224473567752,9.679934e-08,0.0003,0.253643274307251,,
111,750,302,-14.684000000000005,227328,47.84,1100,2.127279226993295e-07,0.2,-7.543768879259005e-05,0.0,-8.378296479349956e-05,-0.0003237380837530779,7.0606184e-06,0.0003,0.24220561981201172,,
112,750,305,-15.110000000000007,229376,52.1,1110,4.7247312919829196e-07,0.2,0.007399471764802002,0.018505859375,-0.0013389678206294775,-0.04683533816423733,0.002233199,0.0003,-0.09766960144042969,,
,,,,230000,,1120,8.830118905782669e-05,0.2,0.009239324319059961,0.035498046875,0.026817554607987404,-0.07030336522147991,0.00797425,0.0003,-0.25589680671691895,45.0,-14.4
113,749,308,-15.962000000000007,231424,60.62,,,,,,,,,,,,
114,749,311,-16.388000000000005,233472,64.88,1130,1.105072608709179e-06,0.2,0.002282697957707569,0.041845703125,0.0025066076777875423,-0.12060752286342905,0.004873527,0.0003,-0.3009403944015503,,
115,749,314,-16.814000000000007,235520,69.14,1140,4.999833985497304e-07,0.2,0.0014534167930833064,0.01796875,-0.001428558025509119,-0.08696188445319422,0.0025170962,0.0003,-1.1596524715423584,,
116,749,317,-16.246000000000006,237568,63.46,1150,4.874792650877424e-07,0.2,0.0007726536699919961,0.019677734375,-0.004473260138183832,-0.07701465699938126,0.0015172587,0.0003,-1.2280890941619873,,
117,748,319,-16.24600000000001,239616,63.46,1160,3.8435584679419323e-07,0.2,0.0006652801326708868,0.010986328125,0.0016469324473291636,-0.04918865116196684,0.0011657195,0.0003,-0.6074118614196777,,
,,,,240000,,1170,1.1194307950512794e-05,0.2,-0.00208876143587986,0.017626953125,-0.02058129385113716,-0.06596892235102132,0.0015036504,0.0003,-0.9792972803115845,45.0,-14.4
118,748,322,-16.388,241664,64.88,,,,,,,,,,,,
119,748,325,-16.388000000000005,243712,64.88,1180,4.838950087737714e-07,0.2,0.001373372615489643,0.014697265625,0.002885393798351288,-0.09912854452850298,0.00081451645,0.0003,-0.359125018119812,,
120,748,328,-16.672000000000004,245760,67.72,1190,8.920434897863316e-07,0.2,0.00043606027611531317,0.020361328125,-0.0039537581615149975,-0.06840900992974638,0.0012813292,0.0003,-1.0916571617126465,,
121,748,331,-16.956000000000007,247808,70.56,1200,4.727271156523827e-06,0.2,-0.0008347691255039535,0.019970703125,-0.01369419228285551,-0.08222560024005361,0.004368766,0.0003,-0.6866869926452637,,
122,747,334,-16.956000000000003,249856,70.56,1210,9.582703884376542e-05,0.2,0.0018141798238502816,0.035400390625,-0.010871744714677334,-0.09765109054278583,0.0044092,0.0003,-0.0838780403137207,,
,,,,250000,,1220,1.268010935540076e-06,0.2,0.003148956147197168,0.033984375,0.010510452091693878,-0.09279011575854383,0.0040858686,0.0003,0.6370642781257629,73.4,-17.240000000000002
123,747,337,-17.666000000000004,251904,77.66,,,,,,,,,,,,
124,746,339,-17.382000000000005,253952,74.82,1230,7.9175590768088e-07,0.2,0.0018179452265030705,0.018603515625,0.035691093653440475,-0.10832659339066594,0.001747887,0.0003,0.6277444362640381,,
125,746,342,-17.666000000000004,256000,77.66,1240,8.108637881143466e-07,0.2,0.00169514148728922,0.0259765625,-0.0016384932678192854,-0.0971776076243259,0.0006297643,0.0003,0.445844829082489,,
126,746,345,-17.382000000000005,258048,74.82,1250,1.0492528429661974e-06,0.2,0.0010194863483775408,0.023974609375,-0.0037365220487117767,-0.06157262909109704,0.005081406,0.0003,0.3288593292236328,,
,,,,260000,,1260,0.00012865968053175081,0.2,0.0012452254013624042,0.03359375,0.04877334088087082,-0.09559627723647282,0.00206586,0.0003,0.3639199137687683,73.4,-17.240000000000002
127,746,348,-17.666000000000004,260096,77.66,,,,,,,,,,,,
128,746,351,-17.524000000000004,262144,76.24,1270,5.278799013019864e-07,0.2,0.0002198937931098044,0.022021484375,-0.005695795640349388,-0.13321978480089455,0.002049997,0.0003,0.061624109745025635,,
129,745,354,-18.092000000000002,264192,81.92,1280,4.5204096439377394e-07,0.2,0.00021471881191246212,0.02197265625,-0.0012373503996059299,-0.09398945710854605,0.0013190259,0.0003,-0.18904292583465576,,
130,745,356,-17.950000000000003,266240,80.5,1290,6.803786767761721e-07,0.2,-0.0006163151236250996,0.0376953125,-0.002320065163075924,-0.11917476069647819,0.007908948,0.0003,-0.23336434364318848,,
131,745,359,-16.814000000000007,268288,69.14,1300,9.260710836844766e-07,0.2,-0.00286434379813727,0.035693359375,0.03741832450032234,-0.08798141673905775,0.0029847664,0.0003,-0.2259995937347412,,
