rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_range,train/loss,train/learning_rate,train/explained_variance,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
323.3333333333333,2048,8.208333333333334,326,6,1,,,,,,,,,,,,
272.35714285714283,4096,2.7035714285714287,291,14,2,0.0140727945,-2.1891344740986822,-0.017211205695639366,5.1853031415492294,10,0.2,2.400400400161743,0.0003,-0.0010318756103515625,0.11455078125,,
283.45,6144,3.8135,286,21,3,0.015873201,-2.1731507375836374,-0.019356238396721893,3.4446418955922127,20,0.2,2.556678533554077,0.0003,0.011724352836608887,0.15517578125,,
291.07142857142856,8192,5.031428571428572,277,29,4,0.012621281,-2.1525813043117523,-0.014568983417120762,5.393776523321867,30,0.2,2.532457113265991,0.0003,0.025136113166809082,0.13369140625,,
,10000,,,,,0.011974258,-2.1315545313060285,-0.0161772508174181,6.039639842882752,40,0.2,2.2576820850372314,0.0003,-0.03229367733001709,0.13359375,0.7559999999999999,277.4
304.1515151515151,10240,6.049393939393939,254,40,5,,,,,,,,,,,,
301.15,12288,5.73925,255,48,6,0.023264464,-2.1074454098939897,-0.023648375808261336,3.4075077027082443,50,0.2,2.129251003265381,0.0003,0.013083279132843018,0.230224609375,,
305.7391304347826,14336,6.078260869565218,255,56,7,0.017051503,-2.0597547449171545,-0.01397553060669452,5.086262257024646,60,0.2,2.495530128479004,0.0003,-0.08720743656158447,0.171044921875,,
301.85185185185185,16384,5.588888888888888,253,64,8,0.016840111,-2.0402956366539002,-0.017455935160978698,3.7234782494604586,70,0.2,1.3597605228424072,0.0003,0.03240245580673218,0.18466796875,,
296.33870967741933,18432,5.038387096774193,252,73,9,0.01971269,-2.0220287173986433,-0.019542575199739076,3.7341858534142376,80,0.2,1.7637348175048828,0.0003,0.21475303173065186,0.202587890625,,
,20000,,,,,0.016605688,-2.0253701683133842,-0.021001758080092258,3.802780416049063,90,0.2,1.9572324752807617,0.0003,0.2959750294685364,0.180517578125,-8.084,192.6
299.2835820895522,20480,5.209701492537315,243,84,10,,,,,,,,,,,,
311.69444444444446,22528,6.704722222222222,243,92,11,0.013585128,-1.973443954065442,-0.015010488824918867,4.917097674682736,100,0.2,3.079549551010132,0.0003,0.20542287826538086,0.13935546875,,
317.987012987013,24576,7.441558441558442,243,100,12,0.017730828,-1.960237167030573,-0.01796730353671592,5.118833785504103,110,0.2,0.9832765460014343,0.0003,-0.051400184631347656,0.2046875,,
319.3975903614458,26624,7.386867469879518,245,108,13,0.019512936,-1.96254115216434,-0.018872449061018415,4.315031045675278,120,0.2,0.9466586709022522,0.0003,0.05253034830093384,0.222509765625,,
325.57954545454544,28672,8.231022727272727,241,118,14,0.014380084,-1.9218076832592488,-0.014432826153642964,4.576667541824281,130,0.2,2.1616597175598145,0.0003,0.12523609399795532,0.196044921875,,
,30000,,,,,0.018497754,-1.8573060672730208,-0.025075175137317274,4.77235893458128,140,0.2,1.1235283613204956,0.0003,0.024016261100769043,0.2115234375,9.564,359.0
326.3085106382979,30720,8.344574468085106,229,133,15,,,,,,,,,,,,
321.23,32768,7.887799999999999,230,141,16,0.01635968,-1.9044732172042131,-0.02038478918839246,4.849929894506931,150,0.2,1.1089987754821777,0.0003,-0.07352995872497559,0.18359375,,
333.01,34816,9.4042,230,150,17,0.02115812,-1.8587783332914114,-0.020701624307548627,3.7466453585773705,160,0.2,1.1607457399368286,0.0003,0.1805340051651001,0.21806640625,,
334.85,36864,9.5225,231,159,18,0.01693416,-1.8554988075047731,-0.018873907104716637,5.420438855141401,170,0.2,1.3607521057128906,0.0003,0.19577676057815552,0.17666015625,,
348.75,38912,10.760399999999999,230,168,19,0.016229346,-1.898054327443242,-0.01392065618711058,4.249546576291323,180,0.2,0.6092324256896973,0.0003,-0.16005468368530273,0.164794921875,,
,40000,,,,,0.019950802,-1.8541528169065713,-0.018225600267760454,3.002182070724666,190,0.2,0.7863842248916626,0.0003,0.16220974922180176,0.202197265625,0.8020000000000003,282.0
353.03,40960,11.402600000000001,224,182,20,,,,,,,,,,,,
354.57,43008,11.018400000000002,224,191,21,0.016555704,-1.9074983149766922,-0.015879773008055053,4.96098972260952,200,0.2,2.08733868598938,0.0003,0.0009843707084655762,0.178369140625,,
355.72,45056,11.529399999999995,225,200,22,0.020803869,-1.8985504020005464,-0.017909549266914838,3.3644903276115654,210,0.2,0.4661257266998291,0.0003,-0.27056896686553955,0.184765625,,
350.03,47104,10.972799999999998,226,208,23,0.023899045,-1.8578254263848066,-0.022284120993572288,3.190136320143938,220,0.2,0.6187589168548584,0.0003,0.04515916109085083,0.22216796875,,
