time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
1018,243712,119,7.8229,239,334.66,1.6319249252788723,0.2,0.4289131164550781,1180,-0.007900584102026187,0.38283947110176086,0.1625,-1.4596567269414664,0.0003,0.013556987,,
1026,245760,120,8.1745,239,339.85,1.4212812256766483,0.2,0.33131206035614014,1190,-0.014008349494542927,0.058835141360759735,0.218212890625,-1.4862541869282722,0.0003,0.0239564,,
1033,247808,121,8.698899999999998,239,342.34,1.589978640479967,0.2,0.21870362758636475,1200,-0.010212685870646965,0.2313477098941803,0.181396484375,-1.5687772694975137,0.0003,0.020835966,,
1041,249856,122,9.1462,239,347.11,1.4555589775089175,0.2,0.22497183084487915,1210,-0.013738830786314793,0.08601095527410507,0.206982421875,-1.4084668714553117,0.0003,0.02018326,,
,250000,,,,,1.5979435729561373,0.2,0.36489158868789673,1220,-0.012609101743146311,0.12677505612373352,0.16171875,-1.3287547796964645,0.0003,0.01718862,0.33999999999999986,235.8
1052,251904,123,9.1865,239,351.16,,,,,,,,,,,,
1060,253952,124,8.7743,239,349.9,1.3408387194387614,0.2,0.3209384083747864,1230,-0.006516220512276049,0.287554532289505,0.1689453125,-1.2662524040788412,0.0003,0.0134431375,,
1068,256000,125,8.435699999999999,239,346.01,2.0822573697194455,0.2,-0.07373499870300293,1240,-0.010542105764034203,0.16013863682746887,0.167724609375,-1.3567042380571366,0.0003,0.019445933,,
1075,258048,126,8.078199999999999,239,340.23,2.145797020709142,0.2,0.19445794820785522,1250,-0.011638533498626202,0.22813209891319275,0.184228515625,-1.4299183618277311,0.0003,0.01896265,,
,260000,,,,,1.1918787736212835,0.2,0.49291354417800903,1260,-0.011273438562056981,0.07056201994419098,0.219873046875,-1.3616233348846436,0.0003,0.021535806,2.3139999999999996,233.4
1086,260096,127,6.8530999999999995,239,327.61,,,,,,,,,,,,
1094,262144,128,5.735500000000001,239,315.77,1.5331646307371556,0.2,0.16316622495651245,1270,-0.008148525236174464,0.13519801199436188,0.1470703125,-1.3492312747985125,0.0003,0.016308933,,
