time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,train/learning_rate,train/loss,train/value_loss,eval/mean_reward,eval/mean_ep_length
697,31,63488,90,-8.9138,251.7,300,-0.012157417058188003,0.158154296875,0.1115606427192688,-0.8413497719913721,0.2,0.009802956,0.0003,1.5128282308578491,3.3387609206140043,,
696,32,65536,94,-8.9341,253.95,310,-0.006834799477655906,0.129248046875,-0.24950182437896729,-0.8247243113815784,0.2,0.011469312,0.0003,1.0684661865234375,2.7287994429469107,,
696,33,67584,97,-8.7309,264.94,320,-0.0023430566856404767,0.1236328125,0.11544185876846313,-0.7878483643755316,0.2,0.007129728,0.0003,0.6952775120735168,2.6113341722637413,,
696,34,69632,100,-8.820099999999998,274.02,330,-0.006555299469619058,0.121435546875,0.1858060359954834,-0.8079790519550443,0.2,0.01298617,0.0003,0.9233258366584778,2.677494540717453,,
,,70000,,,,340,-0.005892936384771019,0.13828125,0.1912354826927185,-0.8257757633924484,0.2,0.01007703,0.0003,0.8553298115730286,3.241974946297705,-11.198,322.2
690,35,71680,103,-8.6964,272.24,,,,,,,,,,,,
691,36,73728,106,-8.5321,276.09,350,-0.009761343771242537,0.1578125,0.13370275497436523,-0.8434940453618764,0.2,0.014380448,0.0003,1.9449069499969482,2.61680559637025,,
693,37,75776,109,-8.457699999999999,279.98,360,-0.0063201029319316145,0.16220703125,0.23645222187042236,-0.809304746054113,0.2,0.012803804,0.0003,1.7596827745437622,2.855929466150701,,
695,38,77824,111,-8.0246,287.7,370,-0.0052849778832751325,0.155419921875,0.1387012004852295,-0.7603430110961199,0.2,0.016040942,0.0003,1.3369640111923218,2.0575994541868567,,
696,39,79872,114,-7.8167,297.16,380,-0.006712739993236028,0.15234375,0.21183621883392334,-0.7952877424657345,0.2,0.012586862,0.0003,0.9724303483963013,2.756891349889338,,
,,80000,,,,390,-0.005528489165590145,0.140283203125,0.25649523735046387,-0.7395889608189463,0.2,0.014601317,0.0003,1.041211485862732,2.2325731196440755,-11.216,322.0
692,40,81920,118,-7.274999999999999,293.86,,,,,,,,,,,,
693,41,83968,121,-6.9946,285.76,400,-0.007306416193023324,0.136083984375,0.19983702898025513,-0.7860043598338962,0.2,0.008467695,0.0003,1.5081979036331177,3.630078510940075,,
694,42,86016,123,-6.228399999999998,281.21,410,-0.006648702258826233,0.097021484375,0.12660139799118042,-0.7676075823605061,0.2,0.009613258,0.0003,2.248659372329712,4.667022026330232,,
695,43,88064,126,-5.9801,286.19,420,-0.005466516179149039,0.106298828125,0.17991220951080322,-0.7440369529649615,0.2,0.010860967,0.0003,1.164925456047058,3.0319792866706847,,
,,90000,,,,430,-0.00763493251579348,0.146435546875,0.17376106977462769,-0.7397346766665578,0.2,0.009638113,0.0003,1.405968189239502,3.9706625061109664,-13.047999999999998,301.0
693,44,90112,130,-6.069300000000002,294.67,,,,,,,,,,,,
694,45,92160,132,-5.808900000000001,299.06,440,-0.0037992287398083135,0.102783203125,0.1599453091621399,-0.7533701499924064,0.2,0.008881174,0.0003,2.429251194000244,3.3212344899773596,,
695,46,94208,135,-5.6488999999999985,303.52,450,-0.00648699706653133,0.132861328125,0.09646260738372803,-0.772806440666318,0.2,0.008960516,0.0003,0.70509272813797,2.172899264935404,,
696,47,96256,138,-5.5741000000000005,305.97,460,-0.005635262333089486,0.13701171875,0.12801557779312134,-0.7407847877591849,0.2,0.009010341,0.0003,1.6393543481826782,2.7637650800868867,,
697,48,98304,140,-5.756799999999999,303.32,470,-0.004598956751578953,0.097607421875,0.22703927755355835,-0.7389826295897365,0.2,0.009479154,0.0003,1.3535373210906982,2.8867771906778215,,
,,100000,,,,480,-0.006109614964225329,0.130615234375,0.10290831327438354,-0.7100958811119199,0.2,0.008246122,0.0003,0.41913899779319763,1.9338300853967667,-11.24,322.8
694,49,100352,144,-5.4741,305.46,,,,,,,,,,,,
695,50,102400,147,-5.705000000000001,308.07,490,-0.005392667566775344,0.116162109375,0.12238210439682007,-0.6992222530767321,0.2,0.012657912,0.0003,1.7262569665908813,3.6939882200211285,,
696,51,104448,149,-5.4498,312.54,500,-0.0032646185922203586,0.135693359375,-0.13530409336090088,-0.7097527315840125,0.2,0.01134068,0.0003,0.6012493371963501,1.8879522813484073,,
698,52,106496,152,-5.0184,299.23,510,-0.006886513202334754,0.14560546875,0.22174596786499023,-0.7271628942340612,0.2,0.008839628,0.0003,2.0566649436950684,3.2442880760878325,,
699,53,108544,155,-5.0408,290.62,520,-0.008196651296748314,0.12783203125,0.19504845142364502,-0.7583662671968341,0.2,0.008319368,0.0003,7.405984878540039,5.84041605591774,,
,,110000,,,,530,-0.0049266247166087854,0.106787109375,0.08852201700210571,-0.7778597163036466,0.2,0.008133139,0.0003,0.6788988709449768,2.7499124931171535,-9.511999999999999,360.6
697,54,110592,158,-5.3364,290.07,,,,,,,,,,,,
697,55,112640,161,-5.665300000000001,292.59,540,-0.005871188327728305,0.106494140625,0.22524696588516235,-0.7992320556193591,0.2,0.008398581,0.0003,2.0845324993133545,4.010629637539386,,
699,56,114688,163,-5.9,295.9,550,-0.0038709005108103155,0.14697265625,0.017018377780914307,-0.8418987631797791,0.2,0.01494849,0.0003,0.9149897694587708,1.682649669330567,,
700,57,116736,166,-5.4242,290.32,560,-0.006539032651926391,0.096484375,0.07513242959976196,-0.846155678667128,0.2,0.0077395197,0.0003,2.7595672607421875,3.6517235547304154,,
701,58,118784,169,-5.2528999999999995,294.35,570,-0.006714923387335148,0.08134765625,0.20165890455245972,-0.8017410356551409,0.2,0.00861051,0.0003,2.3221137523651123,4.887489040941,,
,,120000,,,,580,-0.00854095826507546,0.14423828125,0.13383013010025024,-0.8223607689142227,0.2,0.011877339,0.0003,2.163356065750122,3.2799498910084366,-7.632,366.4
698,59,120832,172,-5.351,295.01,,,,,,,,,,,,
699,60,122880,175,-4.5375000000000005,284.71,590,-0.005089917522855103,0.12763671875,0.043522655963897705,-0.865739761479199,0.2,0.012009079,0.0003,1.3625112771987915,2.11694586193189,,
700,61,124928,178,-3.3121000000000005,275.48,600,-0.00810009787674062,0.07275390625,0.21450066566467285,-0.8530177276581525,0.2,0.00750319,0.0003,2.4389517307281494,7.161969789117575,,
701,62,126976,180,-3.2274000000000003,277.84,610,-0.008222847685101443,0.10751953125,0.2336682677268982,-0.8059862012043595,0.2,0.010243949,0.0003,4.220181941986084,7.883128566294909,,
702,63,129024,183,-2.6716999999999995,273.14,620,-0.008169663776061497,0.16787109375,0.2785661220550537,-0.8173648124560714,0.2,0.014109642,0.0003,0.9778514504432678,3.1261169511824844,,
,,130000,,,,630,-0.008545120831695386,0.11025390625,0.2822045683860779,-0.7732840575277805,0.2,0.009249227,0.0003,1.560021162033081,3.5400615269318223,-11.23,321.4
700,64,131072,187,-2.7961999999999994,265.83,,,,,,,,,,,,
700,65,133120,190,-3.0203,268.44,640,-0.005649438688124064,0.1041015625,0.13686734437942505,-0.7647321904078126,0.2,0.009398707,0.0003,1.043582797050476,3.704956892505288,,
701,66,135168,192,-2.1022000000000003,269.1,650,-0.007256840952322818,0.12958984375,0.09067124128341675,-0.744107766635716,0.2,0.013182213,0.0003,2.8224315643310547,5.412782683223486,,
701,67,137216,195,-1.7538000000000002,274.74,660,-0.010142937026103027,0.144091796875,0.24898409843444824,-0.7185564745217562,0.2,0.011181453,0.0003,3.6552538871765137,6.87429164275527,,
702,68,139264,198,-2.0987000000000005,278.22,670,-0.005677910095255356,0.149609375,0.09947013854980469,-0.7867209177464247,0.2,0.015653307,0.0003,4.496123790740967,3.795729590393603,,
,,140000,,,,680,-0.008771681765210815,0.14638671875,-0.07282328605651855,-0.7827844826504589,0.2,0.0112668425,0.0003,2.3955612182617188,5.02067604251206,-10.69,267.4
701,69,141312,201,-1.7285000000000001,272.11,,,,,,,,,,,,
701,70,143360,204,-1.4194,271.57,690,-0.010963170806644485,0.131591796875,0.07627266645431519,-0.767702417075634,0.2,0.009357916,0.0003,1.7928963899612427,5.573617269098759,,
702,71,145408,207,-1.3688999999999996,276.95,700,-0.005137823025870602,0.081396484375,0.18485099077224731,-0.8003038763999939,0.2,0.008374378,0.0003,3.118732213973999,7.025137673318386,,
702,72,147456,209,-1.0995000000000001,269.27,710,-0.005192017846275121,0.118505859375,0.2831788659095764,-0.8513990055769682,0.2,0.0129601285,0.0003,2.3380279541015625,5.516054666414857,,
703,73,149504,212,-1.0211000000000003,271.56,720,-0.009147804902022471,0.135693359375,0.18772095441818237,-0.8132743092253805,0.2,0.0107310675,0.0003,1.5409873723983765,6.5825877517461775,,
,,150000,,,,730,-0.007373018434736878,0.14580078125,0.17077922821044922,-0.84362124633044,0.2,0.008633418,0.0003,1.7935444116592407,4.290830153599382,-11.282,326.6
701,74,151552,215,-1.2303999999999997,282.3,,,,,,,,,,,,
702,75,153600,218,-1.1295,283.12,740,-0.004465764513588511,0.127783203125,0.17290270328521729,-0.8668121246621012,0.2,0.0113751525,0.0003,2.4729835987091064,5.917601757869124,,
703,76,155648,221,-0.4993,280.92,750,-0.005581475584767759,0.104248046875,0.08027136325836182,-0.830330266430974,0.2,0.0075801415,0.0003,2.788175582885742,6.177760893851518,,
703,77,157696,224,0.017100000000000365,280.13,760,-0.00788906798698008,0.11220703125,0.18543744087219238,-0.8307301601395011,0.2,0.009482995,0.0003,4.384860038757324,9.924561248719693,,
704,78,159744,226,0.2842000000000004,283.83,770,-0.007499137512058951,0.1181640625,0.28827422857284546,-0.8342482374981046,0.2,0.008827674,0.0003,3.2804758548736572,8.709161937236786,,
,,160000,,,,780,-0.004217342639458365,0.109033203125,0.23099100589752197,-0.8111356575042009,0.2,0.0090975715,0.0003,2.624619483947754,5.825406396389008,-5.868,395.8
702,79,161792,230,0.6234000000000003,281.26,,,,,,,,,,,,
702,80,163840,233,0.24510000000000035,288.6,790,-0.0064226686692563815,0.183837890625,0.10028022527694702,-0.8228651080280542,0.2,0.009281646,0.0003,2.5857720375061035,6.462398891150952,,
702,81,165888,236,0.6906000000000002,285.59,800,-0.005028894134738948,0.139306640625,0.20932000875473022,-0.7813786597922444,0.2,0.011031808,0.0003,2.9711971282958984,4.8047029947862026,,
703,82,167936,238,1.1543999999999996,280.65,810,-0.005217521809390746,0.1203125,0.11221915483474731,-0.7774727338925004,0.2,0.0068986537,0.0003,5.545313835144043,8.317535784095526,,
702,83,169984,241,1.432,283.0,820,-0.009260378772160039,0.172314453125,0.23531484603881836,-0.7826107969507575,0.2,0.012222376,0.0003,3.3984320163726807,6.276079186797142,,
,,170000,,,,830,-0.006149152872967534,0.14638671875,0.20722097158432007,-0.7597448244690895,0.2,0.009339617,0.0003,3.760359525680542,7.147821957990527,3.0819999999999994,531.8
698,84,172032,246,1.2543999999999997,290.91,,,,,,,,,,,,
698,85,174080,249,1.1475,291.45,840,-0.006844959323643707,0.133544921875,0.17511200904846191,-0.7936344724148512,0.2,0.010021075,0.0003,5.617002010345459,7.586604224145413,,
698,86,176128,252,1.2782999999999993,288.74,850,-0.005744169230456464,0.160693359375,0.13900703191757202,-0.7928950095549225,0.2,0.010639374,0.0003,2.3131449222564697,4.932022272888571,,
698,87,178176,254,1.5673,290.51,860,-0.0068063158163568,0.137158203125,0.13177484273910522,-0.7586097123101354,0.2,0.013011213,0.0003,2.532456636428833,5.675319027528166,,
,,180000,,,,870,-0.005627207417273894,0.1193359375,0.19010406732559204,-0.7186998371034861,0.2,0.007380195,0.0003,4.880643844604492,8.836058784276247,-11.193999999999999,322.6
696,88,180224,258,1.8017,287.25,,,,,,,,,,,,
696,89,182272,261,1.4477999999999998,290.83,880,-0.003925377485575155,0.142138671875,0.13646912574768066,-0.7555205499753356,0.2,0.0121767055,0.0003,2.051976203918457,4.93447670917958,,
696,90,184320,264,1.2102999999999995,294.34,890,-0.005187013643444515,0.11806640625,0.22927772998809814,-0.677805520221591,0.2,0.0074662357,0.0003,2.807945728302002,8.369544807076455,,
697,91,186368,267,0.7789999999999998,297.33,900,-0.005020575514936354,0.124951171875,0.2400994896888733,-0.6840953953564167,0.2,0.0112140495,0.0003,3.6184685230255127,6.698569893091917,,
697,92,188416,270,0.8590999999999999,298.83,910,-0.005466167889244389,0.1171875,0.26064813137054443,-0.6633246023207903,0.2,0.008658249,0.0003,7.366672515869141,7.4275704536587,,
,,190000,,,,920,-0.0037327119702240453,0.154296875,0.2861641049385071,-0.69807332996279,0.2,0.014203718,0.0003,2.098472833633423,4.035121311619878,-11.203999999999999,322.4
695,93,190464,273,1.0882999999999998,296.77,,,,,,,,,,,,
695,94,192512,276,0.9464999999999998,299.98,930,-0.004687232366995886,0.1203125,0.24845445156097412,-0.7137429444119334,0.2,0.007022083,0.0003,3.204540729522705,6.930632758885622,,
694,95,194560,280,1.3260999999999998,301.5,940,-0.002149560925317928,0.1326171875,0.24697530269622803,-0.7308212330564856,0.2,0.012632899,0.0003,2.690213441848755,6.165677942335606,,
695,96,196608,282,2.0073999999999996,304.78,950,-0.008363003395788837,0.103662109375,0.30174756050109863,-0.6942785957828164,0.2,0.009830966,0.0003,5.922573089599609,10.47329114228487,,
695,97,198656,285,2.6078,305.8,960,-0.003189300358644687,0.103271484375,0.1500232219696045,-0.6906645117327571,0.2,0.008133106,0.0003,2.515075445175171,6.644056745991111,,
,,200000,,,,970,-0.0051253456287668085,0.114794921875,0.2238791584968567,-0.6691546538844705,0.2,0.00920156,0.0003,4.118287086486816,9.846531599760056,-9.322,347.6
693,98,200704,289,3.4063999999999997,307.9,,,,,,,,,,,,
694,99,202752,292,4.347800000000001,315.98,980,-0.005015180265763775,0.090771484375,0.2805354595184326,-0.6609321912750602,0.2,0.007737906,0.0003,4.176044464111328,10.14390451014042,,
694,100,204800,294,5.1221000000000005,321.05,990,-0.006040918431244791,0.114599609375,0.2833571434020996,-0.6487027058377862,0.2,0.007599347,0.0003,3.5958967208862305,8.76714106798172,,
693,101,206848,298,6.1749,318.27,1000,-0.003951094851072412,0.1419921875,0.11464118957519531,-0.6831099459901452,0.2,0.017962173,0.0003,4.741947174072266,7.868560860306024,,
694,102,208896,300,6.597199999999999,317.74,1010,-0.008813149033812806,0.099755859375,0.13243377208709717,-0.6482865937054157,0.2,0.00925242,0.0003,8.523786544799805,15.16854062974453,,
,,210000,,,,1020,-0.006675374184851535,0.12099609375,0.08665317296981812,-0.6710006572306156,0.2,0.012544315,0.0003,6.29082727432251,10.29244985282421,-11.208,322.0
692,103,210944,304,6.8511,324.24,,,,,,,,,,,,
692,104,212992,307,7.872500000000001,324.16,1030,-0.011007155399420298,0.172705078125,0.05826085805892944,-0.685405763797462,0.2,0.012794649,0.0003,1.0533342361450195,8.52771625816822,,
692,105,215040,310,9.620700000000001,333.48,1040,-0.006726739497389644,0.0845703125,0.11488109827041626,-0.669949228875339,0.2,0.008797785,0.0003,3.9982168674468994,13.668806590139866,,
692,106,217088,313,11.3357,335.95,1050,-0.004075589156127535,0.083642578125,0.20540153980255127,-0.6737284645438194,0.2,0.008327296,0.0003,6.262755870819092,11.23581785261631,,
692,107,219136,316,12.6294,339.81,1060,-0.009765834826976062,0.12392578125,0.232524573802948,-0.6553929788991809,0.2,0.010084711,0.0003,4.985638618469238,16.530899395048618,,
,,220000,,,,1070,-0.009774436894804239,0.11494140625,0.27055710554122925,-0.6494656341150403,0.2,0.009221872,0.0003,8.062896728515625,13.188211938738823,24.274,665.2
688,108,221184,321,13.441099999999999,341.22,,,,,,,,,,,,
688,109,223232,324,14.8001,339.37,1080,-0.006263120302173774,0.115087890625,0.12758338451385498,-0.6519068948924541,0.2,0.008713818,0.0003,5.785486221313477,11.960220420360566,,
688,110,225280,327,14.560800000000002,342.9,1090,-0.005813575792126357,0.091650390625,0.26526445150375366,-0.6552098769694567,0.2,0.010750065,0.0003,6.580349922180176,15.394027511775494,,
688,111,227328,330,14.994099999999998,352.28,1100,-0.0023967222135979683,0.146875,-0.02322256565093994,-0.6762500891461969,0.2,0.0140358,0.0003,3.398407220840454,7.137838959693909,,
688,112,229376,333,14.5765,354.44,1110,-0.004795078976894729,0.100634765625,0.09316790103912354,-0.6517590699717403,0.2,0.010981944,0.0003,6.358363628387451,9.480936820060014,,
,,230000,,,,1120,-0.006048603888484649,0.164501953125,0.19474738836288452,-0.6746440883725882,0.2,0.020092074,0.0003,5.177948951721191,8.375135157257318,12.64,406.8
686,113,231424,337,14.377599999999997,353.61,,,,,,,,,,,,
686,114,233472,340,14.726,350.92,1130,-0.006438152825285215,0.1638671875,0.06004279851913452,-0.6621293732896447,0.2,0.0099423155,0.0003,1.8833560943603516,5.7461951278150085,,
687,115,235520,342,14.844699999999998,349.4,1140,-0.007683670688129496,0.1001953125,0.04806298017501831,-0.6722789742052555,0.2,0.011234248,0.0003,3.233609914779663,12.959707237780094,,
687,116,237568,345,14.450400000000002,328.43,1150,-0.008412204752676188,0.13203125,0.17312026023864746,-0.6680795460939407,0.2,0.01052078,0.0003,7.896421432495117,15.569501665234565,,
687,117,239616,348,14.935800000000002,330.18,1160,-0.0066724084346788,0.082421875,0.001052260398864746,-0.6613562259823084,0.2,0.0071124923,0.0003,7.022308349609375,18.64574122428894,,
,,240000,,,,1170,-0.007205274564330466,0.092578125,0.1425025463104248,-0.6409646762534976,0.2,0.007186345,0.0003,11.549539566040039,19.764952297508717,15.59,713.6
684,118,241664,353,15.982699999999998,327.81,,,,,,,,,,,,
684,119,243712,356,17.3335,324.62,1180,-0.007939955772599205,0.091064453125,0.08508580923080444,-0.6160894848406315,0.2,0.0055377423,0.0003,6.592999458312988,20.3927865087986,,
684,120,245760,359,18.3418,335.72,1190,-0.008372508178581484,0.1181640625,0.13889819383621216,-0.5800983485765755,0.2,0.0097320955,0.0003,5.102357864379883,14.575798997282982,,
684,121,247808,361,16.258699999999997,329.28,1200,-0.004692194823292084,0.112353515625,0.14193648099899292,-0.6126057963818312,0.2,0.010178225,0.0003,6.508017063140869,13.768323075026274,,
684,122,249856,364,16.216599999999996,333.47,1210,-0.004049775619932916,0.120654296875,0.20448625087738037,-0.6081767935305834,0.2,0.010930417,0.0003,7.77797794342041,11.862421126663685,,
,,250000,,,,1220,-0.004752139696211089,0.11845703125,0.2801048159599304,-0.591907044686377,0.2,0.010275774,0.0003,5.664295196533203,11.793088482320309,45.06,826.8
680,123,251904,370,15.6385,341.05,,,,,,,,,,,,
680,124,253952,372,16.971999999999998,340.01,1230,-0.003337211467442103,0.082421875,0.1996188759803772,-0.6032000276260078,0.2,0.0076258667,0.0003,8.464640617370605,16.31170924901962,,
681,125,256000,375,16.408900000000003,345.01,1240,-0.0047342272780952046,0.0595703125,0.2450350522994995,-0.5433428403921425,0.2,0.00908564,0.0003,9.064926147460938,21.321841606497763,,
681,126,258048,378,17.5044,338.22,1250,-0.00452652377425693,0.141650390625,0.2551501393318176,-0.5841163951903582,0.2,0.012453419,0.0003,7.5980634689331055,12.335274530947208,,
,,260000,,,,1260,-0.005113145429641008,0.069140625,0.07686662673950195,-0.5143170040100813,0.2,0.0056313938,0.0003,9.18903923034668,21.36614608466625,65.208,1286.4
675,127,260096,384,19.1774,334.8,,,,,,,,,,,,
675,128,262144,387,20.844900000000003,338.84,1270,-0.007547961073578335,0.1244140625,0.11197477579116821,-0.5225498803891242,0.2,0.013094027,0.0003,4.288142204284668,14.730246333777904,,
676,129,264192,390,21.618800000000007,342.91,1280,-0.0058983607188565655,0.09345703125,0.16984158754348755,-0.4802737860009074,0.2,0.007503379,0.0003,5.968087673187256,18.407015499472617,,
676,130,266240,393,22.0394,341.65,1290,-0.006622134361532517,0.12197265625,0.16416341066360474,-0.48350155223160984,0.2,0.014161136,0.0003,4.276705265045166,12.552180591970682,,
677,131,268288,396,24.196500000000004,351.62,1300,-0.00855603496893309,0.131884765625,0.1983569860458374,-0.49631781904026867,0.2,0.014475279,0.0003,4.679372310638428,15.019442008435727,,
,,270000,,,,1310,-0.007019543091882951,0.11181640625,0.15342789888381958,-0.4630192563869059,0.2,0.0106505,0.0003,10.876548767089844,19.02002047598362,38.774,1039.4
672,132,270336,402,24.847799999999996,367.71,,,,,,,,,,,,
672,133,272384,404,25.803099999999993,374.62,1320,-0.004797809582669288,0.128271484375,0.24051862955093384,-0.47558015659451486,0.2,0.013416794,0.0003,4.292272090911865,13.117700806260109,,
673,134,274432,407,25.1584,377.93,1330,-0.0037038941634818913,0.104833984375,0.18956387042999268,-0.4800967311486602,0.2,0.012731487,0.0003,7.064173221588135,13.37655799984932,,
673,135,276480,410,26.066599999999998,399.1,1340,-0.0026350943255238233,0.127978515625,0.24873638153076172,-0.48179181646555663,0.2,0.014830556,0.0003,3.4033873081207275,8.010420143604279,,
674,136,278528,413,25.992200000000004,406.26,1350,-0.0031340073197497985,0.09326171875,0.17962723970413208,-0.4983959024772048,0.2,0.008860378,0.0003,5.65397834777832,15.114251229166985,,
,,280000,,,,1360,-0.004237907013157382,0.14443359375,0.22290045022964478,-0.5055250608362257,0.2,0.011339592,0.0003,5.685663223266602,12.098636645823717,65.592,1057.4
669,137,280576,418,25.0731,416.63,,,,,,,,,,,,
670,138,282624,421,24.808000000000007,422.78,1370,-0.0027501415548613294,0.142724609375,0.15727680921554565,-0.5259879060089588,0.2,0.016695477,0.0003,6.611391067504883,9.848483416438103,,
670,139,284672,424,25.3083,423.58,1380,-0.0052518443728331475,0.121923828125,0.21980774402618408,-0.5329580848105252,0.2,0.011915718,0.0003,5.891335964202881,15.336110338568687,,
