rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_len_mean,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/n_updates,train/learning_rate,train/explained_variance,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
-10.011111111111111,2048,2,951,1,75.77777777777777,,,,,,,,,,,,
-9.943829787234042,4096,5,781,2,83.46808510638297,6.770287247002125,-0.011566723824944346,2.9983837604522705,0.2,10,0.0003,-0.018123865127563477,0.039013671875,-1.0941309329122304,0.0070010955,,
-9.616727272727273,6144,8,754,3,109.36363636363636,5.419110107421875,-0.02429921485017985,2.4455037117004395,0.2,20,0.0003,0.2203008532524109,0.1306640625,-1.0728091429919004,0.015650641,,
-8.885483870967741,8192,11,740,4,131.1290322580645,4.195269037038088,-0.012807359109865501,3.019855499267578,0.2,30,0.0003,0.018726050853729248,0.114892578125,-1.0611294887959957,0.010414666,,
,10000,,,,,3.6792086113244293,-0.007523433485766872,2.3917317390441895,0.2,40,0.0003,0.12682044506072998,0.0853515625,-1.0619728785008191,0.007450251,314.0,-6.24
-8.712753623188407,10240,15,677,5,147.20289855072463,,,,,,,,,,,,
-7.907199999999998,12288,17,689,6,163.56,2.910867261420935,-0.006267916467913892,1.7161873579025269,0.2,50,0.0003,0.21624433994293213,0.091552734375,-1.0534278821200131,0.00831393,,
-7.6271604938271595,14336,20,696,7,173.06172839506172,5.079592716693878,-0.00735866376926424,2.479278326034546,0.2,60,0.0003,0.19664502143859863,0.0763671875,-1.057642302289605,0.007289718,,
-7.641590909090909,16384,23,698,8,184.8181818181818,3.359671602817252,-0.011348853007075378,2.254746437072754,0.2,70,0.0003,0.0975690484046936,0.161279296875,-1.0638175673782826,0.011722176,,
-6.484040404040404,18432,26,698,9,184.5050505050505,3.262057132832706,-0.007719787691894453,1.3849661350250244,0.2,80,0.0003,0.10552287101745605,0.088232421875,-1.0419495483860373,0.008303896,,
,20000,,,,,8.942279996722936,-0.008834992061019875,4.615843296051025,0.2,90,0.0003,0.19532394409179688,0.0478515625,-1.0152626123279334,0.007236534,951.8,23.088
-5.172000000000001,20480,31,644,10,195.47,,,,,,,,,,,,
