time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/loss,train/clip_range,train/entropy_loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
1,4.886,7,2048,313.8,282,,,,,,,,,,,,
2,5.874166666666665,16,4096,332.0,253,3.4619247913360596,0.2,-2.1886701226234435,-0.02794194221496582,4.798922231793403,0.012814461,0.126611328125,0.0003,-0.015289925748948007,10,,
3,1.5859999999999999,24,6144,293.65,250,1.7363009452819824,0.2,-2.1760135285556315,-0.09582960605621338,6.418406803160906,0.016828556,0.16708984375,0.0003,-0.018264842056669294,20,,
4,-0.5767857142857145,32,8192,273.9642857142857,251,1.8920879364013672,0.2,-2.1588578641414644,0.03259557485580444,3.5016887325793506,0.0146246245,0.1638671875,0.0003,-0.0175103541725548,30,,
,,,10000,,,0.8240188956260681,0.2,-2.1460265934467317,-0.05557835102081299,4.639545653015375,0.014654332,0.175146484375,0.0003,-0.014780826699279714,40,336.6,-7.35
5,1.252941176470588,44,10240,288.70588235294116,228,,,,,,,,,,,,
6,0.5204878048780489,52,12288,291.5609756097561,235,2.5105957984924316,0.2,-2.118913332372904,0.06374764442443848,5.603805574029684,0.014544704,0.16318359375,0.0003,-0.015431672672275454,50,,
7,1.0122916666666668,60,14336,296.8333333333333,236,1.8972930908203125,0.2,-2.086196368187666,0.04636335372924805,4.238431481644511,0.01776971,0.22109375,0.0003,-0.015840507607208565,60,,
8,0.8687500000000001,69,16384,290.35714285714283,236,1.9651827812194824,0.2,-2.11223501637578,-0.02152097225189209,4.865582029521465,0.013260992,0.166845703125,0.0003,-0.02113814080366865,70,,
9,-0.6529230769230769,77,18432,282.7692307692308,238,2.0195162296295166,0.2,-2.093519313633442,0.05476599931716919,6.710950024425983,0.01261942,0.140966796875,0.0003,-0.01794180755096022,80,,
,,,20000,,,0.7389647364616394,0.2,-2.0234452575445174,0.21799427270889282,2.6328915905207397,0.016655408,0.17998046875,0.0003,-0.013334855997527484,90,334.4,2.678
10,-0.4361971830985916,90,20480,285.15492957746477,226,,,,,,,,,,,,
11,-1.0213750000000001,97,22528,279.1625,229,1.3219245672225952,0.2,-2.043251643702388,0.11800199747085571,3.7240031734108925,0.01949878,0.229345703125,0.0003,-0.02357288404891733,100,,
12,-0.7158139534883723,106,24576,282.95348837209303,231,1.443772554397583,0.2,-1.9693187087774278,0.1288079023361206,2.991286248527467,0.013585267,0.175244140625,0.0003,-0.014187486714217813,110,,
13,-1.2931578947368425,114,26624,278.70526315789476,232,0.8673871755599976,0.2,-2.0070981055498125,0.18846136331558228,2.9751713501289485,0.016178705,0.194140625,0.0003,-0.018020723515655847,120,,
14,-1.3872000000000002,123,28672,280.74,232,0.535625159740448,0.2,-2.009339927881956,0.2682170867919922,3.3054313415661456,0.02317905,0.20224609375,0.0003,-0.01710576294135535,130,,
,,,30000,,,0.7881870269775391,0.2,-2.016645146533847,0.3250732421875,3.629475524276495,0.016043793,0.183203125,0.0003,-0.015680593403521924,140,319.6,2.829999999999999
15,-1.4226999999999999,135,30720,274.26,226,,,,,,,,,,,,
16,-1.5189000000000001,143,32768,273.87,227,1.4841128587722778,0.2,-1.9905246060341597,0.029385805130004883,5.128318815678358,0.01534641,0.17900390625,0.0003,-0.01893846983439289,150,,
17,-0.9364,151,34816,275.68,229,0.9613681435585022,0.2,-2.0080865133553742,0.1414051055908203,3.0961784655228257,0.021266725,0.2525390625,0.0003,-0.025251123539055696,160,,
18,-0.3693999999999997,159,36864,279.04,230,2.2047457695007324,0.2,-1.9558869924396276,0.2412731647491455,4.540728682279587,0.016256776,0.197119140625,0.0003,-0.02127783632313367,170,,
19,-1.3866000000000003,167,38912,270.67,231,0.858067512512207,0.2,-1.9478914961218834,-0.041628241539001465,4.380670381523669,0.019117005,0.18310546875,0.0003,-0.0169206165446667,180,,
,,,40000,,,0.5766052007675171,0.2,-1.8899188574403525,0.384989857673645,2.722846157476306,0.022442173,0.214306640625,0.0003,-0.018171428580535574,190,258.2,-4.568
20,0.10319999999999943,178,40960,281.85,229,,,,,,,,,,,,
21,-0.3694000000000008,187,43008,279.06,229,0.8622620105743408,0.2,-1.9007120177149772,0.07585108280181885,5.334869021549821,0.013844147,0.1634765625,0.0003,-0.018201942296582275,200,,
22,0.042299999999999595,194,45056,287.94,231,0.7665630578994751,0.2,-1.8880925320088864,-0.20470058917999268,3.234074587933719,0.018195007,0.2130859375,0.0003,-0.019005970636499114,210,,
23,1.5326999999999997,202,47104,299.04,232,1.7958343029022217,0.2,-1.8834020599722863,0.08819597959518433,4.0339708745479586,0.016915096,0.203759765625,0.0003,-0.015791832041577435,220,,
24,2.4880999999999998,212,49152,303.6,231,0.5950984358787537,0.2,-1.8731307998299598,0.017417073249816895,3.5643460584804414,0.018117871,0.185302734375,0.0003,-0.017538094928022475,230,,
,,,50000,,,0.4937579929828644,0.2,-1.7697233472019434,-0.11212587356567383,3.642407805938274,0.01594488,0.160595703125,0.0003,-0.018137426651082932,240,362.6,0.398
