time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
32768,44,736,-23.608,137.08,16,150,0.0193359375,0.9040199518203735,-0.10980717772617936,0.00010023799029568181,0.2,0.0003,-0.0016871053958311677,-0.003550159675069153,0.0013672402,,
34816,47,736,-24.567999999999998,146.68,17,160,0.013037109375,0.8708943128585815,-0.12593199268449098,9.092992731893901e-05,0.2,0.0003,-0.0028868671506643295,-0.0014630545309046283,0.0012127245,,
36864,49,737,-25.259999999999994,153.6,18,170,0.021044921875,0.8393872380256653,-0.12407027096487581,8.1594242300298e-05,0.2,0.0003,-0.0052629695273935795,-0.0016243554360698908,0.0019439282,,
38912,52,739,-26.639999999999997,167.4,19,180,0.0466796875,0.729478120803833,-0.1981692348374054,7.793530963908779e-05,0.2,0.0003,-0.009577588178217411,-0.00440579199930653,0.012761666,,
40000,,,,,,190,0.0181640625,0.7002335786819458,-0.17090779875870793,5.536122313287706e-05,0.2,0.0003,-0.0005946852616034448,-0.0021927469002548604,0.0022891227,-29.119999999999997,192.2
40960,55,732,-27.517999999999997,177.19,20,,,,,,,,,,,,
43008,58,733,-28.377,185.78,21,200,0.03046875,0.006873130798339844,-0.15269061687868088,0.39128011356588105,0.2,0.0003,0.03191766515374184,-0.0018630735139595345,0.002419725,,
45056,61,733,-28.477999999999998,186.79,22,210,0.04033203125,0.28516238927841187,-0.1784025735221803,0.003902071946140495,0.2,0.0003,-0.007713614962995052,-0.0022383746720151974,0.0066139475,,
47104,64,734,-28.641,188.42,23,220,0.086767578125,0.3633034825325012,-0.19739791904576123,0.0016086182989965892,0.2,0.0003,0.06270995736122131,-0.0015466516750166192,0.012712549,,
49152,66,735,-28.714000000000002,189.15,24,230,0.032080078125,0.3762202262878418,-0.20105080166831613,0.0005877551728644903,0.2,0.0003,-0.012482437305152416,-0.0024916323061916048,0.004212891,,
