time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
667,32,-8.262300000000002,65536,320.0,98,0.05657845735549927,1.8450753688812256,0.006127835,2.7192699811421335,0.0003,0.2,0.0763671875,310,-0.00793450668134028,-0.8981479929760099,,
669,33,-7.799200000000002,67584,321.83,101,-0.0011148452758789062,0.3742493987083435,0.011323594,2.213818159326911,0.0003,0.2,0.121826171875,320,-0.007288138376316056,-0.8903447290882468,,
670,34,-8.189599999999999,69632,319.43,103,0.16383570432662964,1.7723307609558105,0.013565836,3.103089325875044,0.0003,0.2,0.145947265625,330,-0.010394861310487613,-0.8797933043912053,,
,,,70000,,,-0.06255710124969482,1.393002986907959,0.0093385,2.68226686809212,0.0003,0.2,0.06884765625,340,-0.006577272503636778,-0.9019668495282531,323.2,-11.499999999999998
664,35,-8.4207,71680,309.61,107,,,,,,,,,,,,
664,36,-8.4139,73728,300.52,110,0.05050164461135864,2.114943742752075,0.008142809,2.880418757535517,0.0003,0.2,0.09345703125,350,-0.005049904159386642,-0.9008700927719474,,
665,37,-8.0208,75776,302.95,113,0.0952947735786438,1.0408629179000854,0.008120874,2.700134137645364,0.0003,0.2,0.113818359375,360,-0.00835455568449106,-0.9150182688608766,,
666,38,-7.528500000000001,77824,309.67,116,0.1598699688911438,1.3479148149490356,0.008065201,2.8629115847870708,0.0003,0.2,0.072607421875,370,-0.006510288247955032,-0.9009063374251127,,
667,39,-7.1941,79872,310.46,119,0.1275324821472168,1.6590300798416138,0.007489676,2.8030919350683687,0.0003,0.2,0.06875,380,-0.004281123960390687,-0.8893321262672543,,
,,,80000,,,0.061482131481170654,1.5102531909942627,0.0067868447,2.8871708845719697,0.0003,0.2,0.093505859375,390,-0.006112459914584178,-0.8913093492388725,218.4,-1.3640000000000003
663,40,-6.937799999999999,81920,307.55,123,,,,,,,,,,,,
664,41,-6.718999999999999,83968,318.7,126,0.1269756555557251,1.0418429374694824,0.010666568,3.4910672787576913,0.0003,0.2,0.119091796875,400,-0.009990003555139992,-0.875684073753655,,
665,42,-6.025999999999999,86016,320.07,129,0.14634710550308228,0.7724857926368713,0.011247201,2.866389865987003,0.0003,0.2,0.089208984375,410,-0.007622337659995537,-0.8911853892728686,,
666,43,-6.2940000000000005,88064,316.04,132,0.2355545163154602,2.246903657913208,0.008853461,3.5382909759879113,0.0003,0.2,0.120849609375,420,-0.010539400704146829,-0.8749575618654489,,
,,,90000,,,-0.01320338249206543,0.8897815346717834,0.008108338,2.183742619585246,0.0003,0.2,0.134619140625,430,-0.009108792842016555,-0.8876293333247304,399.0,-5.452
661,44,-6.153400000000001,90112,312.39,136,,,,,,,,,,,,
661,45,-6.1958,92160,316.83,139,0.13826489448547363,0.5110583305358887,0.009598309,2.627578224148601,0.0003,0.2,0.179931640625,440,-0.010559464839752763,-0.8695544965565205,,
661,46,-6.5295,94208,315.27,142,0.14395809173583984,2.271390199661255,0.008218181,2.6872256698086856,0.0003,0.2,0.10869140625,450,-0.006851583009120077,-0.8010490860790014,,
662,47,-6.475100000000001,96256,323.44,145,-0.011501431465148926,1.2325977087020874,0.007929471,2.350158909521997,0.0003,0.2,0.1078125,460,-0.00685728388489224,-0.7766009874641895,,
662,48,-6.3798,98304,323.82,148,0.11006391048431396,1.265604019165039,0.007937556,2.7783936634659767,0.0003,0.2,0.09296875,470,-0.006688575647422113,-0.8322763159871102,,
,,,100000,,,-0.01315760612487793,0.8367855548858643,0.007672969,2.369099258771166,0.0003,0.2,0.11025390625,480,-0.006184120204125065,-0.7990517908707261,329.6,-2.516
658,49,-6.6546,100352,326.68,152,,,,,,,,,,,,
658,50,-6.134799999999999,102400,322.95,155,0.1863880157470703,0.5050184726715088,0.009469437,2.6404390007257463,0.0003,0.2,0.157861328125,490,-0.00926235472143162,-0.8309704335406423,,
659,51,-6.1289,104448,325.26,158,0.09344375133514404,1.7832285165786743,0.0065722326,4.142574684694409,0.0003,0.2,0.07158203125,500,-0.0036501262758974915,-0.8468107400462032,,
659,52,-5.8481,106496,331.21,161,0.07282251119613647,1.2768880128860474,0.008906827,3.4324410425499083,0.0003,0.2,0.110302734375,510,-0.008144983513921034,-0.8017377953976392,,
659,53,-5.5987,108544,323.49,164,0.13817375898361206,1.6556731462478638,0.013289567,2.795034423284233,0.0003,0.2,0.151513671875,520,-0.00834368371142773,-0.7889577442780137,,
,,,110000,,,0.21573656797409058,1.9302685260772705,0.00803555,3.9117040388286113,0.0003,0.2,0.06669921875,530,-0.005217557674041018,-0.8112170837819577,267.2,-6.376
657,54,-5.306900000000001,110592,326.54,168,,,,,,,,,,,,
657,55,-4.9456,112640,332.35,171,0.2043743133544922,2.3955166339874268,0.0055259457,3.787475174292922,0.0003,0.2,0.06943359375,540,-0.004712698349612765,-0.796063544601202,,
659,56,-4.6156,114688,331.38,173,0.18791067600250244,1.9793806076049805,0.00988636,2.521282914560288,0.0003,0.2,0.1373046875,550,-0.008441445294010919,-0.8372296113520861,,
660,57,-4.525699999999999,116736,325.69,176,0.17755126953125,2.459996223449707,0.008439811,4.369661081582308,0.0003,0.2,0.081298828125,560,-0.0068355404800968245,-0.8225292118266225,,
661,58,-4.985500000000001,118784,331.23,179,0.010300278663635254,3.6661667823791504,0.0055164583,3.9324980387464166,0.0003,0.2,0.04462890625,570,-0.0023013997997622937,-0.8232016203925013,,
,,,120000,,,0.14721834659576416,1.411693811416626,0.007279882,2.382361471001059,0.0003,0.2,0.071142578125,580,-0.004312272704555653,-0.8306372348219156,249.8,0.6439999999999995
659,59,-4.8542999999999985,120832,327.32,183,,,,,,,,,,,,
661,60,-3.9160000000000004,122880,318.47,185,0.14737820625305176,1.1742390394210815,0.0056427876,3.6999828735366465,0.0003,0.2,0.077978515625,590,-0.005308218640857376,-0.8293711643666029,,
662,61,-3.9495000000000005,124928,318.32,188,0.1359044313430786,1.68767511844635,0.008408612,5.379969113692641,0.0003,0.2,0.080908203125,600,-0.006555519680841826,-0.8342188127338886,,
663,62,-3.4331,126976,314.12,191,0.16782927513122559,2.051889657974243,0.011007126,4.1626975979655985,0.0003,0.2,0.14267578125,610,-0.008697063024737873,-0.8505766414105892,,
663,63,-2.6866999999999996,129024,298.54,194,0.16197443008422852,2.786905288696289,0.008884909,3.4807960601523518,0.0003,0.2,0.10986328125,620,-0.004986832682334352,-0.8664922706782818,,
,,,130000,,,0.12986111640930176,6.024881839752197,0.008281317,6.954633456841111,0.0003,0.2,0.146044921875,630,-0.009408135490957648,-0.8655680166557431,402.4,-5.586
660,64,-2.7578000000000005,131072,296.74,198,,,,,,,,,,,,
661,65,-2.7097,133120,299.64,201,0.21930092573165894,1.3998104333877563,0.0113606425,4.375126567855477,0.0003,0.2,0.127587890625,640,-0.009018710101372562,-0.8714783143252134,,
661,66,-1.9033000000000002,135168,283.06,204,0.12140703201293945,1.700961947441101,0.008566414,4.766499957069755,0.0003,0.2,0.115234375,650,-0.008543165592709557,-0.8698003863915801,,
662,67,-2.3864,137216,289.83,207,0.14757376909255981,1.7654049396514893,0.008752465,5.482537543773651,0.0003,0.2,0.11845703125,660,-0.006786064099287614,-0.8598339382559061,,
662,68,-3.2112000000000007,139264,285.83,210,0.08742588758468628,1.4921565055847168,0.009979993,3.362562452536076,0.0003,0.2,0.140625,670,-0.008600126513920258,-0.8682349322363734,,
,,,140000,,,0.026382386684417725,0.610826313495636,0.0069162645,2.547528706304729,0.0003,0.2,0.09150390625,680,-0.004669432458467781,-0.8780464719980955,301.0,-13.280000000000001
660,69,-2.9382,141312,279.95,213,,,,,,,,,,,,
661,70,-2.9613,143360,281.96,216,0.134269118309021,1.9261544942855835,0.009034557,3.8485628431662917,0.0003,0.2,0.113623046875,690,-0.008128322787524667,-0.8551653545349837,,
662,71,-2.6631,145408,274.96,219,0.1702304482460022,1.0190246105194092,0.009451613,4.628286216780543,0.0003,0.2,0.1345703125,700,-0.011490260290156585,-0.8463495770469308,,
663,72,-2.3559,147456,273.07,222,0.17883014678955078,1.529833436012268,0.007763068,6.318068563938141,0.0003,0.2,0.097607421875,710,-0.008276888194086496,-0.8479453984647989,,
664,73,-1.7094,149504,267.37,224,0.2126944661140442,2.5710501670837402,0.01075236,4.032300142385066,0.0003,0.2,0.109033203125,720,-0.007273310341406614,-0.8712367074564099,,
,,,150000,,,0.16464942693710327,3.261852264404297,0.0060242927,8.083648052066565,0.0003,0.2,0.039990234375,730,-0.0049715515982825306,-0.856073248013854,261.0,-8.556
664,74,-2.0054999999999996,151552,277.26,228,,,,,,,,,,,,
665,75,-1.7700000000000002,153600,273.03,230,0.016012966632843018,0.7717052102088928,0.008277576,2.9136081712320445,0.0003,0.2,0.123974609375,740,-0.0068356391653651375,-0.8458037154749036,,
666,76,-1.2582999999999998,155648,267.6,233,0.19155550003051758,2.777784585952759,0.01041308,5.441930442303419,0.0003,0.2,0.1234375,750,-0.00809594889578875,-0.7927194483578205,,
667,77,-1.0215999999999998,157696,272.25,236,0.1624138355255127,5.2119669914245605,0.0054692924,8.782009239494801,0.0003,0.2,0.04599609375,760,-0.00540969681169372,-0.7673827176913619,,
667,78,-0.42689999999999967,159744,265.13,239,0.19721531867980957,3.929469347000122,0.0064858925,7.721605431288481,0.0003,0.2,0.070751953125,770,-0.00639971255150158,-0.7572069210931659,,
,,,160000,,,0.18844127655029297,5.616487979888916,0.005357283,8.729743507504462,0.0003,0.2,0.048779296875,780,-0.0053277953149518,-0.7793766554445029,397.6,6.0520000000000005
664,79,0.16470000000000012,161792,260.62,243,,,,,,,,,,,,
664,80,1.2053,163840,255.25,246,0.14736485481262207,3.874879837036133,0.006721895,8.550710847973823,0.0003,0.2,0.06015625,790,-0.006581482457113453,-0.7281807916238904,,
664,81,2.0801000000000003,165888,246.44,249,0.11534726619720459,2.950059652328491,0.0072880946,8.878377360850573,0.0003,0.2,0.07744140625,800,-0.007501864765072241,-0.6954116050153971,,
665,82,2.7741000000000007,167936,243.9,252,0.19295144081115723,2.7800819873809814,0.007841224,5.7237821843475105,0.0003,0.2,0.093310546875,810,-0.010368248932354617,-0.6734900692477822,,
665,83,3.8736999999999995,169984,241.44,255,0.13412249088287354,3.5930566787719727,0.0062570493,8.820919448882341,0.0003,0.2,0.073486328125,820,-0.00601453437411692,-0.6530298987403512,,
,,,170000,,,0.19366765022277832,5.98709774017334,0.007842705,9.844323028624057,0.0003,0.2,0.084716796875,830,-0.0074853973215795126,-0.5966760396957398,310.2,18.336000000000002
663,84,4.6739,172032,238.89,259,,,,,,,,,,,,
663,85,5.018699999999999,174080,240.44,262,0.1614040732383728,4.690702438354492,0.0045094583,9.722133684903383,0.0003,0.2,0.05888671875,840,-0.005733771246741526,-0.5708123477175832,,
664,86,6.3327,176128,235.75,265,0.18408823013305664,5.696502208709717,0.0053665424,9.779770413041115,0.0003,0.2,0.070703125,850,-0.007151295887888409,-0.5384386803954839,,
664,87,6.7348,178176,233.47,268,0.16317850351333618,7.237141132354736,0.011329959,10.907169857621193,0.0003,0.2,0.080517578125,860,-0.009373348247027024,-0.505048809852451,,
,,,180000,,,0.13185793161392212,4.124013423919678,0.008451715,8.529656045138836,0.0003,0.2,0.055078125,870,-0.005405860058090184,-0.5328400382772088,580.0,30.412
660,88,6.6002,180224,238.92,272,,,,,,,,,,,,
660,89,7.841999999999998,182272,246.26,275,0.15475213527679443,3.445679187774658,0.0065214606,6.697942369803786,0.0003,0.2,0.068603515625,880,-0.0061682053026743235,-0.5674119818024337,,
660,90,9.218499999999999,184320,249.64,278,0.16898834705352783,4.515841484069824,0.0025303406,9.190049280971289,0.0003,0.2,0.038525390625,890,-0.005417685022985097,-0.5452342974022031,,
661,91,9.3107,186368,254.42,281,0.22851496934890747,8.451949119567871,0.004660036,16.22338523119688,0.0003,0.2,0.044921875,900,-0.005697620174032636,-0.5390967496670782,,
661,92,9.5962,188416,260.2,284,0.07327800989151001,5.728861331939697,0.0067640515,7.971427427232266,0.0003,0.2,0.072216796875,910,-0.004117527398921084,-0.5695660774596035,,
,,,190000,,,0.17343485355377197,2.106368064880371,0.005324359,7.290973029285669,0.0003,0.2,0.0572265625,920,-0.0021783393691293894,-0.5688162418082356,285.4,3.55
659,93,10.594299999999999,190464,262.38,288,,,,,,,,,,,,
660,94,11.721300000000001,192512,271.19,291,0.15788620710372925,5.21921968460083,0.002681835,11.47908416390419,0.0003,0.2,0.034033203125,930,-0.004800115645048208,-0.5710369401611388,,
660,95,13.296,194560,269.96,294,0.2382602095603943,6.122165203094482,0.0044827107,13.447763501107692,0.0003,0.2,0.059521484375,940,-0.005193191350554116,-0.5382757538929581,,
660,96,13.852199999999998,196608,279.4,297,0.13771086931228638,11.064273834228516,0.0059693838,19.227532991766928,0.0003,0.2,0.052880859375,950,-0.00784300252853427,-0.5331884159706533,,
661,97,14.291699999999997,198656,281.19,300,0.11770671606063843,5.822752475738525,0.011229623,12.361800999939442,0.0003,0.2,0.12783203125,960,-0.00836519944423344,-0.5294388119131327,,
,,,200000,,,0.1751115918159485,4.814753532409668,0.0042909663,13.589636808633804,0.0003,0.2,0.041796875,970,-0.004378742462722585,-0.504261218290776,374.6,31.223999999999997
659,98,15.732999999999997,200704,286.29,304,,,,,,,,,,,,
659,99,16.763299999999997,202752,291.26,307,0.19510936737060547,6.404240131378174,0.004304289,13.395984145998955,0.0003,0.2,0.04072265625,980,-0.003730922759859823,-0.4682592933997512,,
659,100,17.2504,204800,293.3,310,0.15635836124420166,7.7666215896606445,0.0073985355,12.489122946560382,0.0003,0.2,0.080322265625,990,-0.007599803479388356,-0.4716954474337399,,
660,101,17.7593,206848,304.37,313,0.26060181856155396,4.108389377593994,0.0048451377,17.099369367957117,0.0003,0.2,0.046630859375,1000,-0.004828669129346963,-0.44646918438374994,,
660,102,18.9512,208896,315.2,316,0.21504908800125122,6.338617324829102,0.0065357205,11.142277957499028,0.0003,0.2,0.071142578125,1010,-0.006473896266834344,-0.4367488677613437,,
,,,210000,,,0.20054423809051514,5.57750940322876,0.0056173624,12.21150707155466,0.0003,0.2,0.068701171875,1020,-0.006477480418107006,-0.411187504325062,530.2,11.331999999999999
657,103,20.593400000000003,210944,315.93,320,,,,,,,,,,,,
657,104,21.662000000000003,212992,316.96,323,0.24103695154190063,5.8628668785095215,0.0050635748,11.760243055224418,0.0003,0.2,0.0458984375,1030,-0.00391200580925215,-0.4052215166389942,,
658,105,21.871600000000004,215040,315.81,326,0.21857041120529175,3.6316287517547607,0.0048449845,12.824253453314304,0.0003,0.2,0.05048828125,1040,-0.004983969160821289,-0.3790456266142428,,
658,106,22.4918,217088,329.45,329,0.15948832035064697,3.4898006916046143,0.0055309585,11.06130522340536,0.0003,0.2,0.04765625,1050,-0.0037756929858005607,-0.3695104834623635,,
658,107,22.370900000000002,219136,329.63,332,0.23893362283706665,8.764413833618164,0.00267591,14.814027941226959,0.0003,0.2,0.04326171875,1060,-0.005718725218321197,-0.34095444781705736,,
,,,220000,,,0.20512473583221436,1.7137064933776855,0.006498129,6.748424961790443,0.0003,0.2,0.07568359375,1070,-0.005140989256324247,-0.36070337081328036,532.0,16.098
655,108,23.572400000000002,221184,342.9,337,,,,,,,,,,,,
655,109,24.434400000000004,223232,351.58,340,0.22291570901870728,3.9368224143981934,0.00628536,8.561767894774675,0.0003,0.2,0.063818359375,1080,-0.0075227132154395806,-0.3417190146632493,,
655,110,25.0079,225280,347.18,343,0.20768839120864868,7.271701812744141,0.0026316433,12.770487476885318,0.0003,0.2,0.040966796875,1090,-0.005070960278681013,-0.3447848128154874,,
656,111,24.2408,227328,342.72,346,0.24867701530456543,11.547918319702148,0.0053917086,23.226237547397613,0.0003,0.2,0.039404296875,1100,-0.003805601595377084,-0.3600569287315011,,
656,112,23.367000000000004,229376,341.81,349,0.18837934732437134,11.468507766723633,0.0067527634,19.404431787133216,0.0003,0.2,0.05703125,1110,-0.005647524216328748,-0.33751135040074587,,
,,,230000,,,0.25756436586380005,7.413471698760986,0.002571887,11.707673393189907,0.0003,0.2,0.04033203125,1120,-0.002321955701336265,-0.31937958165071906,437.8,20.064
654,113,25.174799999999994,231424,343.0,353,,,,,,,,,,,,
654,114,26.3929,233472,351.61,356,0.3008893132209778,6.075931072235107,0.004898489,18.66728138923645,0.0003,0.2,0.055517578125,1130,-0.005631396058015525,-0.27988270642235874,,
654,115,26.4977,235520,342.53,359,0.19019490480422974,8.16681957244873,0.003408774,13.825555023550987,0.0003,0.2,0.0314453125,1140,-0.002987002667214256,-0.2901498937513679,,
655,116,28.275199999999998,237568,345.85,362,0.2577183246612549,12.5850191116333,0.003109788,24.927362957596777,0.0003,0.2,0.033447265625,1150,-0.005622049470548518,-0.24687902331352235,,
655,117,28.355100000000004,239616,353.57,365,0.22653549909591675,6.976706504821777,0.007058408,17.584671695530414,0.0003,0.2,0.064453125,1160,-0.00769324061111547,-0.25465937997214494,,
,,,240000,,,0.22935223579406738,4.230321884155273,0.0045575863,12.516597634553909,0.0003,0.2,0.036962890625,1170,-0.003635028502321802,-0.23752612043172122,504.2,26.546000000000003
653,118,30.7073,241664,348.76,369,,,,,,,,,,,,
653,119,30.068299999999994,243712,342.79,372,0.2815946936607361,8.197288513183594,0.0033566523,17.446366439759732,0.0003,0.2,0.040576171875,1180,-0.0027894406419363806,-0.22859827103093266,,
653,120,30.2615,245760,344.69,376,0.18001699447631836,4.736618518829346,0.0043423874,16.6529610902071,0.0003,0.2,0.03994140625,1190,-0.0038336872035870328,-0.25243048365227877,,
653,121,30.507900000000003,247808,337.88,379,0.23347711563110352,8.201571464538574,0.0032089478,16.90848725140095,0.0003,0.2,0.036083984375,1200,-0.0021056683675851674,-0.23567705592140556,,
653,122,33.0747,249856,345.64,382,0.2659149765968323,12.560613632202148,0.008617964,19.659057655930518,0.0003,0.2,0.041943359375,1210,-0.0066476430249167604,-0.243034085072577,,
,,,250000,,,0.1659787893295288,8.378472328186035,0.0025708396,17.58318783938885,0.0003,0.2,0.037939453125,1220,-0.0023690883885137738,-0.2379336768761277,951.8,37.46399999999999
649,123,33.3202,251904,346.21,387,,,,,,,,,,,,
649,124,34.5782,253952,358.14,390,0.2379888892173767,14.573930740356445,0.003917738,15.785250954329967,0.0003,0.2,0.037353515625,1230,-0.0020825821004109455,-0.217396509507671,,
649,125,34.6666,256000,355.31,393,0.16785180568695068,10.285399436950684,0.0065626046,11.021053621172905,0.0003,0.2,0.053125,1240,-0.0032758782952441836,-0.24060307792387903,,
650,126,35.3461,258048,358.33,396,0.29325103759765625,7.563478946685791,0.005384194,10.528048995137215,0.0003,0.2,0.039892578125,1250,-0.0024129993951646613,-0.20662931418046354,,
,,,260000,,,0.27734696865081787,8.696307182312012,0.0030737878,14.841433808207512,0.0003,0.2,0.0275390625,1260,-0.0016309146172716281,-0.19860903574153782,698.0,40.022000000000006
647,127,37.3432,260096,365.11,401,,,,,,,,,,,,
647,128,37.615500000000004,262144,375.61,405,0.1185489296913147,9.025280952453613,0.0026217652,18.01466920673847,0.0003,0.2,0.039501953125,1270,-0.0045811268966645,-0.20184032386168838,,
647,129,38.3239,264192,384.84,408,0.17787986993789673,5.942580699920654,0.0047242553,8.406068243458867,0.0003,0.2,0.046533203125,1280,-0.0034810369077604266,-0.21509780706837772,,
647,130,39.5959,266240,399.97,410,0.3423749804496765,6.0851874351501465,0.002378087,13.202660244703292,0.0003,0.2,0.0287109375,1290,-0.003524658520473167,-0.19048175315838306,,
648,131,41.38890000000001,268288,408.63,413,0.21913552284240723,8.094467163085938,0.009362295,14.763552990555763,0.0003,0.2,0.045068359375,1300,-0.003528162100701593,-0.20213045356795192,,
,,,270000,,,0.20045417547225952,5.678854465484619,0.0021157223,16.65371290445328,0.0003,0.2,0.029052734375,1310,-0.002809342785621993,-0.19665454332716764,501.8,13.758
646,132,42.068400000000004,270336,408.45,418,,,,,,,,,,,,
646,133,42.94610000000001,272384,414.46,421,0.254743754863739,8.515202522277832,0.00400571,19.02128677070141,0.0003,0.2,0.04052734375,1320,-0.005917961901286617,-0.20256025455892085,,
646,134,42.176399999999994,274432,420.46,424,0.30032020807266235,5.085529804229736,0.0027710209,11.957496569305658,0.0003,0.2,0.0296875,1330,-0.0009268089284887538,-0.19309675991535186,,
647,135,45.615300000000005,276480,423.98,427,0.20447921752929688,10.641583442687988,0.003846839,18.73053024113178,0.0003,0.2,0.043359375,1340,-0.0070147555525181815,-0.18761437323410063,,
647,136,45.96490000000001,278528,422.65,430,0.2769893407821655,8.248473167419434,0.0029878581,18.603549417853355,0.0003,0.2,0.032861328125,1350,-0.003623509590397589,-0.1723441739566624,,
,,,280000,,,0.34379851818084717,4.194614887237549,0.0026204688,18.21845651566982,0.0003,0.2,0.029296875,1360,-0.002587098677759059,-0.15849795523099602,609.8,11.957999999999998
645,137,47.3694,280576,438.63,434,,,,,,,,,,,,
645,138,45.8059,282624,441.54,437,0.207497239112854,5.118170738220215,0.0035873174,10.316650665551425,0.0003,0.2,0.032421875,1370,-0.0021161741547985,-0.17923972813878208,,
