rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/learning_rate,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
-9.356129032258064,959,65.7741935483871,2,2048,1,,,,,,,,,,,,
-10.000338983050845,797,68.94915254237289,5,4096,2,0.0003,-0.0036933422088623047,0.2,10,3.8718957901000977,0.010078537,0.0626953125,-0.011093433998757974,-1.0917571261525154,8.7285865098238,,
-10.116444444444445,759,68.05555555555556,8,6144,3,0.0003,0.2799389958381653,0.2,20,2.1278903484344482,0.010238392,0.07216796875,-0.010366913542384282,-1.0866638273000717,4.31788383051753,,
-10.188600000000001,736,70.55,11,8192,4,0.0003,0.37942999601364136,0.2,30,1.5891200304031372,0.0101754535,0.091064453125,-0.012768360340851359,-1.0687998685985804,3.669063476845622,,
,,,,10000,,0.0003,0.44587260484695435,0.2,40,0.7568007707595825,0.0100670755,0.080419921875,-0.00959289045422338,-1.069937103241682,2.589692221954465,301.0,-16.0
-10.249,682,68.56,15,10240,5,,,,,,,,,,,,
-9.767599999999998,680,69.54,18,12288,6,0.0003,0.3694576621055603,0.2,50,1.2607372999191284,0.008631268,0.040380859375,-0.007404389593284577,-1.056170780211687,3.6139070302248,,
-10.213399999999998,680,76.8,21,14336,7,0.0003,0.3715021014213562,0.2,60,1.465295433998108,0.010243801,0.092919921875,-0.009384707390563563,-1.0677122216671706,3.5635697040706873,,
-10.125399999999999,679,82.42,24,16384,8,0.0003,0.4114748239517212,0.2,70,0.7024290561676025,0.007619545,0.039599609375,-0.006883245188510046,-1.063615906238556,1.2765668412670492,,
-10.5852,681,85.37,27,18432,9,0.0003,0.3526458740234375,0.2,80,0.5619343519210815,0.008002933,0.06640625,-0.009795973301515914,-1.043364818766713,2.5784310491755607,,
,,,,20000,,0.0003,0.19212418794631958,0.2,90,0.5552647113800049,0.013055618,0.14501953125,-0.01997473028895911,-1.01703030616045,1.3514602415263652,301.0,-16.0
-11.098600000000001,661,96.01,30,20480,10,,,,,,,,,,,,
-11.046599999999996,662,108.44,34,22528,11,0.0003,0.3744550943374634,0.2,100,1.3451682329177856,0.008546019,0.0958984375,-0.011989227548474446,-1.0364673383533956,1.2975356008857488,,
-11.2316,663,122.7,37,24576,12,0.0003,0.1501220464706421,0.2,110,0.9466188549995422,0.010735149,0.073974609375,-0.011001251226116438,-1.026808805577457,2.6194662055000664,,
-11.2972,665,136.0,39,26624,13,0.0003,0.24793249368667603,0.2,120,0.9511284232139587,0.008119689,0.084619140625,-0.012076036917278543,-0.9894836166873574,1.0311417021788656,,
-11.34,665,148.16,43,28672,14,0.0003,0.2239549160003662,0.2,130,0.30773261189460754,0.006532928,0.066943359375,-0.006092388230899815,-0.9716847529634833,1.3645407694391907,,
,,,,30000,,0.0003,0.27606749534606934,0.2,140,0.3639591932296753,0.007064471,0.07744140625,-0.007384717043896672,-1.0067705826833844,1.2584711897652596,342.2,-12.815999999999999
-11.551999999999998,652,163.77,47,30720,15,,,,,,,,,,,,
-11.549799999999998,655,173.68,49,32768,16,0.0003,0.2062011957168579,0.2,150,1.3865725994110107,0.007706313,0.094775390625,-0.005958284295047633,-0.9971449622884393,1.2387901170179247,,
-11.659,657,184.15,52,34816,17,0.0003,0.20285260677337646,0.2,160,0.7261794805526733,0.008210632,0.079736328125,-0.012504670037014876,-0.9723184695467353,2.305114226229489,,
-11.419800000000002,658,197.24,55,36864,18,0.0003,0.11199623346328735,0.2,170,0.3451087474822998,0.0077390345,0.08046875,-0.009551604751322884,-0.9590507009997964,2.3742767189629377,,
-11.444599999999998,658,213.51,59,38912,19,0.0003,0.2939029335975647,0.2,180,1.574894666671753,0.0068427827,0.05966796875,-0.006318117490445729,-1.00622330699116,2.5523452401161193,,
,,,,40000,,0.0003,-0.09286320209503174,0.2,190,0.7815330028533936,0.010644235,0.116357421875,-0.007266597668058239,-1.0169637337327004,2.3855036729946733,301.0,-16.0
-11.288,651,225.72,62,40960,20,,,,,,,,,,,,
-11.3666,653,239.67,65,43008,21,0.0003,0.14178448915481567,0.2,200,1.7776618003845215,0.0075172437,0.064404296875,-0.005941764255112503,-1.0069132080301642,2.4470277067273853,,
-11.363400000000002,654,249.53,68,45056,22,0.0003,-0.1388036012649536,0.2,210,0.47055584192276,0.008043601,0.09765625,-0.0054795321397250515,-1.0138357566669582,1.9954495511949062,,
-11.386400000000002,656,260.7,71,47104,23,0.0003,0.06703692674636841,0.2,220,0.4653955101966858,0.00892834,0.065087890625,-0.0061410353941028,-1.0114319436252117,2.3351679923944175,,
-11.203800000000003,657,266.6,74,49152,24,0.0003,0.07617378234863281,0.2,230,0.7981275320053101,0.011415393,0.16240234375,-0.012200530206609984,-0.9966474957764149,3.0498431736603377,,
,,,,50000,,0.0003,0.0728406310081482,0.2,240,0.9146773815155029,0.011371905,0.103759765625,-0.008727446012198926,-1.0246996980160474,2.933030609600246,301.0,-16.0
-10.6184,650,267.39,78,51200,25,,,,,,,,,,,,
-10.417,651,272.35,81,53248,26,0.0003,0.07802122831344604,0.2,250,2.2920455932617188,0.0075365016,0.072265625,-0.010241283316281624,-1.017180224508047,3.199462271295488,,
-10.1858,652,270.81,84,55296,27,0.0003,0.22216224670410156,0.2,260,0.8229365348815918,0.008805232,0.088623046875,-0.009456021033111028,-1.0299516258761288,3.397083588130772,,
-9.877199999999998,653,270.41,87,57344,28,0.0003,0.08565545082092285,0.2,270,0.40905705094337463,0.00921865,0.11650390625,-0.010139589765458368,-1.0199118020012974,3.3788613056764008,,
-10.2502,654,274.03,90,59392,29,0.0003,0.042413175106048584,0.2,280,0.6446881294250488,0.006601588,0.064404296875,-0.006694457927369513,-1.0025750312954187,3.7788685547187923,,
,,,,60000,,0.0003,-0.17284893989562988,0.2,290,0.59048992395401,0.008826561,0.09169921875,-0.005062450526747852,-0.9703588657081127,1.538239739369601,301.0,-16.0
-10.1668,650,279.88,94,61440,30,,,,,,,,,,,,
-9.904599999999999,652,276.79,97,63488,31,0.0003,0.16482383012771606,0.2,300,1.078843355178833,0.009591797,0.07607421875,-0.010243263532174751,-0.9959361799061298,2.458198307454586,,
-9.348400000000002,654,279.04,100,65536,32,0.0003,0.0524212121963501,0.2,310,2.266486883163452,0.00605613,0.060107421875,-0.007314930460415781,-0.9982620434835553,3.8486934464424847,,
-9.3572,655,269.46,103,67584,33,0.0003,0.15599948167800903,0.2,320,2.1141016483306885,0.009919664,0.101025390625,-0.009719727345509455,-1.0144696816802026,5.160195607692003,,
-8.2158,656,267.5,105,69632,34,0.0003,0.17430168390274048,0.2,330,0.9381834864616394,0.007994201,0.090771484375,-0.010011691099498421,-1.0182790404185653,3.0611563991755246,,
,,,,70000,,0.0003,0.16371291875839233,0.2,340,2.5123417377471924,0.0062586274,0.038671875,-0.006472634099191054,-1.0116317769512535,5.304197499901056,273.8,-9.443999999999999
-7.9144,653,272.47,109,71680,35,,,,,,,,,,,,
-7.888400000000001,653,271.17,112,73728,36,0.0003,0.14188188314437866,0.2,350,1.1240696907043457,0.010838356,0.14384765625,-0.008816467151336837,-1.0177647748962044,2.7237024653702973,,
-8.1922,655,261.31,115,75776,37,0.0003,0.047946274280548096,0.2,360,1.3837175369262695,0.0082272375,0.05810546875,-0.0077526248438516635,-0.9989551723003387,3.4020662205293775,,
-8.5144,656,267.4,118,77824,38,0.0003,-0.06970632076263428,0.2,370,1.4610861539840698,0.007113359,0.07314453125,-0.006457621083245613,-0.9781100386753678,2.825495347008109,,
-8.736,657,273.47,121,79872,39,0.0003,0.1169080138206482,0.2,380,2.048192024230957,0.008722788,0.0828125,-0.0065881158952834085,-0.9961855979636312,3.31207101624459,,
,,,,80000,,0.0003,0.09942764043807983,0.2,390,0.459028035402298,0.00893916,0.10439453125,-0.00835296693694545,-1.0096274077892304,2.432894654944539,348.6,-12.943999999999999
-8.088000000000001,653,271.13,125,81920,40,,,,,,,,,,,,
-7.589999999999999,654,261.26,128,83968,41,0.0003,0.17761504650115967,0.2,400,2.1491713523864746,0.010542881,0.100537109375,-0.009224936692044139,-1.0003109453245997,4.716304578259587,,
-7.265,655,260.04,131,86016,42,0.0003,0.19143766164779663,0.2,410,2.7151708602905273,0.009441042,0.1107421875,-0.014853098790626972,-1.016455644927919,4.50930896550417,,
-6.903200000000001,656,251.97,134,88064,43,0.0003,0.20096975564956665,0.2,420,2.0706260204315186,0.008215006,0.08056640625,-0.008605089061893523,-1.0084674146026373,3.034521489404142,,
,,,,90000,,0.0003,0.03327929973602295,0.2,430,2.513317108154297,0.010150478,0.12265625,-0.013672196463448926,-1.0099579399451613,4.042540216073394,206.2,3.932000000000001
-6.8416,654,258.91,137,90112,44,,,,,,,,,,,,
-6.617799999999999,655,262.75,140,92160,45,0.0003,0.09038561582565308,0.2,440,0.9020928144454956,0.008763239,0.106591796875,-0.00917036695900606,-1.0237272253260017,2.954859856516123,,
-6.4014,656,266.96,143,94208,46,0.0003,0.15557140111923218,0.2,450,3.1139707565307617,0.0072234506,0.05654296875,-0.006563001514587085,-1.013507319241762,4.090483878180384,,
-7.038800000000001,657,268.77,146,96256,47,0.0003,0.11659383773803711,0.2,460,1.6711395978927612,0.010670079,0.116650390625,-0.011494669513194822,-1.030893585830927,3.7954528724774717,,
-6.4078,658,257.26,149,98304,48,0.0003,0.12239933013916016,0.2,470,1.4902046918869019,0.008831702,0.111962890625,-0.009726975893136114,-1.0403545420616864,3.576445798575878,,
,,,,100000,,0.0003,0.09485989809036255,0.2,480,3.3887288570404053,0.008718657,0.106005859375,-0.012099862705508713,-1.037399361655116,5.705274471640587,253.4,0.984
-5.1288,655,258.44,153,100352,49,,,,,,,,,,,,
-4.7126,655,262.68,156,102400,50,0.0003,0.1886293888092041,0.2,490,2.1855437755584717,0.00454005,0.039111328125,-0.006819019460817799,-1.0107463819906115,7.454522988200187,,
-4.6036,656,267.25,159,104448,51,0.0003,0.14964771270751953,0.2,500,2.6863200664520264,0.008580959,0.059619140625,-0.0072267538009327835,-1.0222613129764795,5.133998933434486,,
-3.7096,657,257.62,162,106496,52,0.0003,0.04404592514038086,0.2,510,2.6806111335754395,0.01023346,0.121923828125,-0.007900798093760385,-1.0214686524122953,2.996706482581794,,
-4.150799999999999,658,259.64,164,108544,53,0.0003,0.10745847225189209,0.2,520,1.7009745836257935,0.00915305,0.104931640625,-0.012674509271164425,-1.0059891238808631,7.1549424938857555,,
,,,,110000,,0.0003,0.17289209365844727,0.2,530,1.5628225803375244,0.008077829,0.075146484375,-0.008002014667727052,-1.0163242604583502,2.947586756013334,416.0,-8.28
