time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
16,292.69,241,32768,135,3.5,2.6551880836486816,0.087744140625,-2.067289154231548,6.145628359913826,0.0099105425,0.0003,0.0325961709022522,150,0.2,-0.012495917602791451,,
17,295.37,242,34816,143,3.3,2.2386064529418945,0.128515625,-2.0297809936106206,5.6132850799709555,0.012691984,0.0003,-0.03803884983062744,160,0.2,-0.014310010784538463,,
18,298.36,244,36864,150,3.6,1.1136361360549927,0.075439453125,-2.0116245586425068,5.724122279882431,0.010346444,0.0003,-0.008313179016113281,170,0.2,-0.007172014741809107,,
19,298.2,245,38912,158,3.3,1.5060102939605713,0.12802734375,-1.974223305657506,5.304442415386438,0.01034254,0.0003,-0.026415109634399414,180,0.2,-0.00912845645507332,,
,,,40000,,,1.7775394916534424,0.16630859375,-2.0241474181413652,4.846808896958828,0.012250131,0.0003,0.11747676134109497,190,0.2,-0.014600616396637633,10.0,363.0
20,303.31,239,40960,171,4.6,,,,,,,,,,,,
21,299.41,239,43008,179,3.8,3.081200361251831,0.10673828125,-2.0109169602394106,6.882294387370348,0.010781417,0.0003,0.2016473412513733,200,0.2,-0.012058347111451439,,
22,304.65,239,45056,187,4.2,1.7483865022659302,0.0701171875,-1.9463126905262471,5.664335815981031,0.0075355475,0.0003,0.4185723662376404,210,0.2,-0.009879514470230787,,
23,305.16,240,47104,196,4.5,2.318726062774658,0.07978515625,-1.9513469062745572,6.054426915198564,0.009221394,0.0003,0.2995089292526245,220,0.2,-0.012796679543680512,,
24,305.59,241,49152,203,4.2,4.530288219451904,0.053564453125,-1.9411315858364104,6.188928931206465,0.007892711,0.0003,0.2682846188545227,230,0.2,-0.006700701478985138,,
,,,50000,,,4.684944152832031,0.1099609375,-1.9365613035857678,5.598784487321973,0.009960709,0.0003,0.10519862174987793,240,0.2,-0.01390073548827786,22.0,463.4
25,313.82,232,51200,219,5.3,,,,,,,,,,,,
26,313.75,234,53248,227,5.7,3.453861951828003,0.08095703125,-2.001682372391224,5.022685723006726,0.009451352,0.0003,0.12051475048065186,250,0.2,-0.009788506690529174,,
27,320.28,234,55296,235,6.2,6.445382118225098,0.062841796875,-1.9913682155311108,8.213842715322972,0.008363782,0.0003,0.1533360481262207,260,0.2,-0.009116841116338037,,
28,322.88,234,57344,244,6.6,1.7711215019226074,0.0828125,-1.962966973334551,5.977914685383439,0.011157136,0.0003,0.2059038281440735,270,0.2,-0.009816649300046266,,
29,318.96,235,59392,251,5.9,5.231525897979736,0.0859375,-1.9435332879424094,6.69776311609894,0.009427635,0.0003,0.23513364791870117,280,0.2,-0.008207270203274674,,
,,,60000,,,3.960479736328125,0.07685546875,-1.9717566221952438,5.373805851303041,0.009575905,0.0003,0.21018993854522705,290,0.2,-0.008848379760456737,6.0,320.2
30,320.74,231,61440,265,6.0,,,,,,,,,,,,
31,318.79,232,63488,273,6.1,2.8707311153411865,0.137939453125,-1.908444409817457,6.224788507446647,0.012744546,0.0003,0.07565099000930786,300,0.2,-0.012738160467415582,,
32,317.69,232,65536,281,6.3,2.046546220779419,0.1416015625,-1.8870568171143531,5.396791096404195,0.012592135,0.0003,0.2426561713218689,310,0.2,-0.011483896407298744,,
33,313.52,231,67584,291,6.2,1.8168483972549438,0.08955078125,-1.874285750836134,5.750433267280459,0.010599347,0.0003,0.16686123609542847,320,0.2,-0.007037963827315252,,
34,320.31,231,69632,300,6.7,2.538850784301758,0.075830078125,-1.8456396579742431,7.085517767816782,0.008902765,0.0003,0.1466374397277832,330,0.2,-0.010378852457506582,,
,,,70000,,,3.3483493328094482,0.078076171875,-1.8489439472556115,6.547411863133311,0.0077359853,0.0003,-0.007200121879577637,340,0.2,-0.009439891696092672,2.0,268.4
35,326.92,228,71680,313,7.7,,,,,,,,,,,,
36,327.61,229,73728,321,7.5,3.512150764465332,0.0740234375,-1.8543817460536958,7.009599331766367,0.008345772,0.0003,0.039919495582580566,350,0.2,-0.009861054373322986,,
37,333.75,229,75776,330,8.0,4.609226226806641,0.106884765625,-1.888111177459359,6.335828540474177,0.010617386,0.0003,0.19405949115753174,360,0.2,-0.009677312450367025,,
38,321.72,230,77824,337,6.9,2.0851950645446777,0.10517578125,-1.8735234741121531,5.707446403801441,0.010058323,0.0003,0.22249990701675415,370,0.2,-0.00969351315870881,,
39,320.82,231,79872,345,6.5,4.116657733917236,0.067236328125,-1.876473006978631,6.417987241223455,0.008153356,0.0003,0.007885754108428955,380,0.2,-0.007747592953091953,,
,,,80000,,,3.6898155212402344,0.05947265625,-1.8765703864395618,6.170405479520559,0.00956521,0.0003,0.11264574527740479,390,0.2,-0.008146143447083887,2.0,274.8
40,323.58,229,81920,356,6.9,,,,,,,,,,,,
41,322.16,230,83968,363,6.9,2.8834447860717773,0.086083984375,-1.9119543243199586,6.369908349588513,0.010635374,0.0003,0.19423198699951172,400,0.2,-0.009179836588737089,,
42,326.43,230,86016,372,6.9,1.6476281881332397,0.103564453125,-1.9586397122591734,6.089360184594989,0.01118404,0.0003,0.23660194873809814,410,0.2,-0.008734295083559118,,
43,315.32,231,88064,380,5.7,3.496295928955078,0.096484375,-1.9254928402602673,5.44781723022461,0.009743439,0.0003,0.1576749086380005,420,0.2,-0.00780875394702889,,
,,,90000,,,3.5122902393341064,0.074072265625,-1.9342461798340083,5.990382353588939,0.009416174,0.0003,0.3024248480796814,430,0.2,-0.0065096516846097074,0.0,315.6
44,316.62,229,90112,393,5.6,,,,,,,,,,,,
45,314.68,229,92160,401,5.6,1.756082534790039,0.0826171875,-1.8411616697907447,5.240187146514654,0.01078495,0.0003,0.13703763484954834,440,0.2,-0.01000216501270188,,
46,322.19,229,94208,409,6.2,2.591386079788208,0.08505859375,-1.8621082805097102,4.797567573189736,0.009026206,0.0003,0.30941295623779297,450,0.2,-0.009879717612056993,,
47,324.37,229,96256,418,6.0,1.4187548160552979,0.087451171875,-1.7873397458344698,5.880574533715844,0.010484364,0.0003,0.25265729427337646,460,0.2,-0.011262204703234602,,
48,326.4,230,98304,426,6.4,1.4115536212921143,0.113330078125,-1.6882487833499908,3.5961840162053704,0.011251893,0.0003,0.29978668689727783,470,0.2,-0.012914879390154965,,
,,,100000,,,3.3907837867736816,0.09736328125,-1.749175713211298,7.829691346734762,0.011584614,0.0003,0.09528028964996338,480,0.2,-0.009737740972195753,-4.0,260.0
49,320.81,228,100352,438,6.1,,,,,,,,,,,,
50,308.82,229,102400,446,4.8,2.3905584812164307,0.108251953125,-1.7623045276850462,7.383142227679491,0.010787001,0.0003,0.26121747493743896,490,0.2,-0.011079740882269106,,
51,300.49,229,104448,455,3.5,1.667683482170105,0.10927734375,-1.783273857086897,4.377994795888663,0.011084305,0.0003,0.311845064163208,500,0.2,-0.00855401721491944,,
52,299.44,229,106496,463,3.9,2.8648126125335693,0.120947265625,-1.7170752596110106,5.026959360204637,0.012156649,0.0003,0.2908022999763489,510,0.2,-0.009612636604288127,,
53,305.19,229,108544,472,4.2,2.064136505126953,0.0734375,-1.6634573828428985,6.457586915791035,0.009361673,0.0003,-0.19604957103729248,520,0.2,-0.008481834470876493,,
,,,110000,,,1.5418834686279297,0.10302734375,-1.5410549130290747,4.215235524438322,0.008137491,0.0003,0.11861217021942139,530,0.2,-0.009947169353836216,-4.0,253.8
54,321.11,227,110592,486,5.5,,,,,,,,,,,,
55,316.84,227,112640,495,5.4,2.3151564598083496,0.1251953125,-1.6024561375379562,5.697198238223791,0.0121282255,0.0003,0.20294088125228882,540,0.2,-0.014552941563306377,,
56,313.49,227,114688,503,4.8,3.4068892002105713,0.13623046875,-1.6293578919023275,5.589064376428723,0.011156287,0.0003,0.26269352436065674,550,0.2,-0.010800362170266453,,
57,306.38,227,116736,512,4.5,1.4569858312606812,0.086767578125,-1.5340020179748535,4.953396577760577,0.0085647665,0.0003,0.23703312873840332,560,0.2,-0.00879872489022091,,
58,306.45,227,118784,521,4.2,1.4425019025802612,0.086474609375,-1.606856755912304,5.731060386821627,0.007757757,0.0003,0.10166901350021362,570,0.2,-0.008967582491459325,,
,,,120000,,,2.8278415203094482,0.096337890625,-1.6052262801676989,5.148453233391047,0.011093413,0.0003,0.19128912687301636,580,0.2,-0.011653841003135313,0.0,267.0
59,308.41,226,120832,532,4.6,,,,,,,,,,,,
60,305.74,226,122880,541,4.4,1.8054991960525513,0.06982421875,-1.5773037046194076,4.407733795419335,0.008999303,0.0003,0.2256757616996765,590,0.2,-0.0064512200697208755,,
61,300.07,226,124928,550,4.1,4.661715030670166,0.061083984375,-1.5414105124771595,6.3974683593958614,0.008968787,0.0003,0.12463057041168213,600,0.2,-0.011830684081360232,,
62,293.36,227,126976,559,3.6,1.2436758279800415,0.14697265625,-1.5591711584478616,5.771755724400282,0.012243746,0.0003,0.12056916952133179,610,0.2,-0.016665774726425296,,
63,302.96,226,129024,568,4.3,2.395271062850952,0.112353515625,-1.513734420388937,5.155020203255117,0.010894303,0.0003,0.18704694509506226,620,0.2,-0.008786492570652626,,
,,,130000,,,2.147550582885742,0.08173828125,-1.523154677078128,5.3580812849104404,0.008071827,0.0003,0.44280797243118286,630,0.2,-0.008632048647268676,10.0,383.4
64,300.9,224,131072,583,3.8,,,,,,,,,,,,
65,308.74,225,133120,591,4.5,1.3496651649475098,0.09501953125,-1.635435577109456,5.231798699498176,0.009804872,0.0003,0.02171957492828369,640,0.2,-0.010869814484613017,,
66,314.63,225,135168,599,5.0,2.8130075931549072,0.133447265625,-1.539726808667183,5.987878978252411,0.012536639,0.0003,0.09885770082473755,650,0.2,-0.008301742482581176,,
67,305.95,225,137216,607,3.8,4.147153377532959,0.09365234375,-1.6269358541816472,5.425213355198503,0.0103356,0.0003,0.40358471870422363,660,0.2,-0.00857987213821616,,
68,294.15,226,139264,615,3.2,1.2770988941192627,0.109033203125,-1.571088569611311,3.4359700666740536,0.012339758,0.0003,0.32792139053344727,670,0.2,-0.009374974574893714,,
,,,140000,,,3.230442523956299,0.127685546875,-1.5118661619722844,5.698448087275028,0.011891229,0.0003,0.32419437170028687,680,0.2,-0.01212237735162489,6.0,259.6
69,299.33,225,141312,627,3.7,,,,,,,,,,,,
70,298.14,225,143360,636,4.0,0.8497936725616455,0.107763671875,-1.456056559830904,4.370876768603921,0.010810041,0.0003,0.18259942531585693,690,0.2,-0.011926985006721225,,
71,304.09,225,145408,644,4.3,2.6264193058013916,0.073291015625,-1.5429475769400596,5.928742587566376,0.010273656,0.0003,0.24121695756912231,700,0.2,-0.007763296013581567,,
72,301.09,225,147456,653,3.7,3.1576032638549805,0.0873046875,-1.495237734168768,4.793990880250931,0.01139379,0.0003,0.17220711708068848,710,0.2,-0.0076862963833264075,,
73,311.25,225,149504,662,4.3,1.2043640613555908,0.138427734375,-1.5817952420562507,5.20098916515708,0.009555858,0.0003,0.032170653343200684,720,0.2,-0.015684099770442116,,
,,,150000,,,1.2541033029556274,0.138818359375,-1.4844747316092253,3.2629677658900618,0.015316618,0.0003,0.1032748818397522,730,0.2,-0.011972206429345534,8.0,357.0
74,303.08,223,151552,676,3.4,,,,,,,,,,,,
75,310.65,224,153600,685,3.6,0.8213502764701843,0.060595703125,-1.473423722758889,4.143042696639895,0.008282754,0.0003,0.12822729349136353,740,0.2,-0.005676282286003698,,
76,309.47,224,155648,694,3.0,1.8229795694351196,0.07900390625,-1.5222231324762105,4.183873404376209,0.008453461,0.0003,0.03794294595718384,750,0.2,-0.009551905625266954,,
77,309.94,224,157696,702,3.3,0.2342129647731781,0.0935546875,-1.5173167634755373,2.8054420702159404,0.0092381,0.0003,0.1117522120475769,760,0.2,-0.009005856154544745,,
78,312.54,224,159744,711,3.8,2.3739373683929443,0.0671875,-1.5010063897818327,5.938318653404712,0.009724326,0.0003,0.10819011926651001,770,0.2,-0.008043096860637889,,
,,,160000,,,1.6573344469070435,0.1203125,-1.562292169779539,4.799846724793315,0.0102930935,0.0003,0.21730023622512817,780,0.2,-0.012561559955065605,2.0,314.4
79,308.87,223,161792,724,3.3,,,,,,,,,,,,
80,304.35,223,163840,732,3.0,1.2884643077850342,0.11044921875,-1.4327775690704585,3.358005509339273,0.010602752,0.0003,0.27395719289779663,790,0.2,-0.00830395752855111,,
81,312.83,223,165888,741,3.7,2.571664810180664,0.074365234375,-1.379530329629779,3.7136365693062543,0.008617216,0.0003,0.5618468523025513,800,0.2,-0.008351871388731525,,
82,314.94,224,167936,749,4.2,2.5821893215179443,0.062890625,-1.3451607417315246,6.862111654877663,0.0060645537,0.0003,0.428766667842865,810,0.2,-0.006579901126679033,,
83,317.75,224,169984,758,4.5,0.8126201629638672,0.078466796875,-1.5053722940385341,3.6167198605835438,0.007389335,0.0003,0.6681692600250244,820,0.2,-0.0063138435943983495,,
,,,170000,,,1.4933902025222778,0.058447265625,-1.5700579784810542,5.494837937876582,0.0077623725,0.0003,0.38287651538848877,830,0.2,-0.008152887083997484,0.0,290.6
84,317.68,222,172032,771,4.7,,,,,,,,,,,,
85,318.31,223,174080,779,5.0,0.9807919859886169,0.095751953125,-1.4594757098704576,4.1043599106371405,0.012705892,0.0003,0.5186750292778015,840,0.2,-0.01069391252240166,,
86,318.49,223,176128,787,4.9,1.2833726406097412,0.073681640625,-1.3091250706464053,6.3793950892984865,0.007957364,0.0003,0.5065007209777832,850,0.2,-0.00696029792597983,,
87,316.62,223,178176,795,5.3,1.7031303644180298,0.085595703125,-1.4443200342357159,7.191571139544249,0.010420399,0.0003,0.5334340333938599,860,0.2,-0.006152182389632799,,
,,,180000,,,3.7229244709014893,0.114990234375,-1.3840232763439417,5.518766978010535,0.006884701,0.0003,0.43999868631362915,870,0.2,-0.009222719407989643,0.0,314.0
88,316.79,222,180224,808,5.6,,,,,,,,,,,,
89,312.63,223,182272,816,5.6,1.2198368310928345,0.061328125,-1.3800984535366296,4.761547135002911,0.0074236817,0.0003,0.5720426440238953,880,0.2,-0.0063346964248921726,,
90,316.39,223,184320,824,6.4,1.2969779968261719,0.0783203125,-1.4200265936553478,3.999094126559794,0.009352628,0.0003,0.5053563117980957,890,0.2,-0.009276707195385824,,
91,312.44,223,186368,833,6.6,2.676283836364746,0.035595703125,-1.2606324646621943,7.905716065317392,0.0046735886,0.0003,0.41594499349594116,900,0.2,-0.0047148981466307305,,
92,314.24,223,188416,841,7.2,2.6691620349884033,0.133984375,-1.4152536306530237,5.745926458761096,0.013727514,0.0003,0.09814995527267456,910,0.2,-0.01230373576254351,,
,,,190000,,,0.8911582231521606,0.118212890625,-1.2629516325891017,7.094955798983574,0.010787417,0.0003,0.08536398410797119,920,0.2,-0.011804480146383866,0.0,212.4
93,316.47,223,190464,852,7.5,,,,,,,,,,,,
94,323.56,223,192512,861,8.1,0.900736927986145,0.069287109375,-1.3184847809374332,5.328366957232356,0.006090901,0.0003,0.46395331621170044,930,0.2,-0.007016485132044181,,
95,317.17,223,194560,869,7.2,0.9595967531204224,0.11669921875,-1.382062080129981,4.758070603758097,0.00970489,0.0003,0.17136865854263306,940,0.2,-0.011094011916429735,,
96,320.5,224,196608,877,7.3,2.5675249099731445,0.132568359375,-1.3082221508026124,4.950409564375877,0.010803128,0.0003,-0.11838638782501221,950,0.2,-0.010107826796593144,,
97,316.64,224,198656,885,7.0,2.662731647491455,0.100634765625,-1.2479442451149225,5.582266070321202,0.011959249,0.0003,-0.007744789123535156,960,0.2,-0.01140643184480723,,
,,,200000,,,2.1244263648986816,0.08466796875,-1.1830366998910904,4.536619864217937,0.0063108923,0.0003,0.2046107053756714,970,0.2,-0.00828979152138345,-2.0,277.0
98,319.23,223,200704,896,7.1,,,,,,,,,,,,
99,315.22,224,202752,904,6.9,3.0678110122680664,0.08427734375,-1.2955695044249296,5.509650443866849,0.01584107,0.0003,0.3168603777885437,980,0.2,-0.007853978229104542,,
100,315.44,224,204800,912,6.6,1.5539777278900146,0.107275390625,-1.2947952073067426,6.162210945785046,0.010456843,0.0003,0.4517003893852234,990,0.2,-0.008101578860078007,,
101,313.36,224,206848,920,6.1,1.418342113494873,0.090576171875,-1.2588870503008365,3.977602690830827,0.009319304,0.0003,0.3694491386413574,1000,0.2,-0.0072656956253922544,,
102,313.76,224,208896,928,5.8,3.7709872722625732,0.105322265625,-1.1932327419519424,4.912545504234731,0.009209019,0.0003,0.4415358901023865,1010,0.2,-0.007863743472262286,,
,,,210000,,,1.3091739416122437,0.10166015625,-1.2242326013743878,5.298211014829576,0.011407984,0.0003,0.35094600915908813,1020,0.2,-0.008067369395575952,18.0,457.4
103,312.52,223,210944,943,5.4,,,,,,,,,,,,
104,315.33,224,212992,950,5.6,0.9721086621284485,0.10888671875,-1.2984769340604543,4.172142016887665,0.0087127965,0.0003,0.27196943759918213,1030,0.2,-0.007853783354221378,,
105,310.22,224,215040,958,4.8,2.862717628479004,0.050390625,-1.322120162844658,6.318208767473697,0.0061528804,0.0003,0.2458256483078003,1040,0.2,-0.004476724736741744,,
106,314.67,224,217088,965,5.1,1.3582807779312134,0.10556640625,-1.36108891479671,4.45063257953152,0.009849491,0.0003,0.2394932508468628,1050,0.2,-0.00718607107992284,,
107,322.68,225,219136,973,5.9,1.824885606765747,0.061669921875,-1.3032426867634057,4.805696661770344,0.0062048608,0.0003,0.02994978427886963,1060,0.2,-0.007020083622774109,,
,,,220000,,,3.196810245513916,0.07861328125,-1.0657164420932532,6.340954993292689,0.006179358,0.0003,0.2859552502632141,1070,0.2,-0.006780231196898967,2.0,337.2
108,324.63,224,221184,986,5.9,,,,,,,,,,,,
109,327.83,224,223232,994,6.2,3.0016565322875977,0.06044921875,-1.3153082892298698,5.226158049330115,0.009052459,0.0003,0.23712438344955444,1080,0.2,-0.008812690974446013,,
110,334.92,224,225280,1002,6.6,1.568528652191162,0.044775390625,-1.180202128738165,5.834862907230854,0.0055142622,0.0003,0.1692400574684143,1090,0.2,-0.0032534194047912023,,
111,338.2,224,227328,1010,7.4,1.996017336845398,0.082080078125,-1.1226111011579634,5.302156611159444,0.008227911,0.0003,0.4175897240638733,1100,0.2,-0.008891674716142006,,
112,336.89,225,229376,1017,7.6,3.2293202877044678,0.08623046875,-1.2534999236464501,6.970201629400253,0.008178296,0.0003,0.41224199533462524,1110,0.2,-0.006183017800503876,,
,,,230000,,,2.0734307765960693,0.114501953125,-1.2287049412727356,5.288701235502958,0.009512245,0.0003,0.4365769624710083,1120,0.2,-0.010137601513997651,-6.0,207.8
113,339.61,225,231424,1028,8.1,,,,,,,,,,,,
114,338.07,225,233472,1036,7.7,2.820831537246704,0.087744140625,-1.260335698351264,7.503374733775854,0.00915224,0.0003,0.35282814502716064,1130,0.2,-0.009245681420725304,,
115,343.24,225,235520,1044,7.8,0.6207227110862732,0.085693359375,-1.3154876932501793,3.5891532361507417,0.006965569,0.0003,0.5426710844039917,1140,0.2,-0.005351106691523455,,
116,342.17,225,237568,1052,7.8,0.7889429330825806,0.082177734375,-1.2262078620493413,5.3334702022373675,0.007508555,0.0003,0.24716037511825562,1150,0.2,-0.007190497366536874,,
117,338.76,226,239616,1059,7.6,2.21970272064209,0.066796875,-1.14611183013767,5.541039328277111,0.0069104107,0.0003,0.17319118976593018,1160,0.2,-0.0060930822670343335,,
,,,240000,,,2.769665002822876,0.082958984375,-1.1513160023838283,4.78549243118614,0.0059035057,0.0003,0.3243907690048218,1170,0.2,-0.008147639213711954,4.0,305.0
118,341.0,225,241664,1071,7.9,,,,,,,,,,,,
119,336.94,225,243712,1079,8.1,3.4294114112854004,0.0927734375,-1.0823611322790385,5.334781990200281,0.0081121605,0.0003,0.3028483986854553,1180,0.2,-0.007419478768133559,,
120,340.71,226,245760,1086,8.8,2.0562779903411865,0.066455078125,-1.0774652736261487,7.1738943174481395,0.0068674777,0.0003,0.01157224178314209,1190,0.2,-0.0051818933250615375,,
121,342.38,226,247808,1094,8.7,2.4912309646606445,0.118115234375,-1.128532007522881,4.164220401644707,0.011390428,0.0003,0.4204309582710266,1200,0.2,-0.008920641819713637,,
122,347.54,226,249856,1102,8.9,2.5756428241729736,0.0755859375,-1.1164839379489422,4.361995711177587,0.005842182,0.0003,0.44003570079803467,1210,0.2,-0.006906952039571479,,
,,,250000,,,2.4192614555358887,0.081103515625,-1.182970256358385,4.845021362230182,0.007838712,0.0003,0.22410601377487183,1220,0.2,-0.005618332599988207,0.0,303.6
123,334.97,225,251904,1115,7.4,,,,,,,,,,,,
124,325.94,226,253952,1123,5.9,1.5415064096450806,0.0806640625,-1.0994023952633143,3.6724806165322663,0.0074430164,0.0003,0.33957940340042114,1230,0.2,-0.006372334317711647,,
125,325.64,226,256000,1131,6.4,0.5622377395629883,0.05419921875,-1.10687999650836,3.8543679071590304,0.0057079857,0.0003,0.36934757232666016,1240,0.2,-0.0046523071534466,,
126,311.6,226,258048,1138,4.9,2.010413408279419,0.039453125,-1.0694295523688198,5.403561996296048,0.0050596506,0.0003,0.14755702018737793,1250,0.2,-0.0038759855349780993,,
,,,260000,,,2.5063748359680176,0.0435546875,-0.9828934760764241,5.260139007493853,0.0051699174,0.0003,0.15787160396575928,1260,0.2,-0.004711582773597911,20.0,364.6
127,319.22,225,260096,1151,5.2,,,,,,,,,,,,
128,320.19,226,262144,1159,5.4,1.4116060733795166,0.062890625,-1.0553013104945421,3.6271240991540252,0.007220854,0.0003,0.4291486144065857,1270,0.2,-0.005572614514676388,,
129,315.63,226,264192,1167,4.7,2.2067086696624756,0.1146484375,-1.0528080189600586,5.7882386729121205,0.0073815156,0.0003,-0.16735804080963135,1280,0.2,-0.010288048183429054,,
130,315.05,226,266240,1174,4.7,0.3562098443508148,0.12265625,-1.1044815508648753,2.864689651504159,0.012544664,0.0003,0.4427998661994934,1290,0.2,-0.013566640159115195,,
131,319.86,226,268288,1182,5.1,3.886742115020752,0.06650390625,-1.1416685223579406,6.011539177596569,0.008244002,0.0003,0.17713814973831177,1300,0.2,-0.006039825695916079,,
,,,270000,,,0.3935398459434509,0.094677734375,-1.2010938383638858,4.080608400329948,0.008500856,0.0003,0.2805978059768677,1310,0.2,-0.007876677683088928,0.0,312.0
132,323.63,226,270336,1194,5.0,,,,,,,,,,,,
133,321.74,226,272384,1202,5.0,0.9882255792617798,0.1052734375,-1.1424255669116974,4.338316901214421,0.011056067,0.0003,-0.01177072525024414,1320,0.2,-0.008818252562195993,,
134,315.67,226,274432,1210,4.0,2.439457893371582,0.077392578125,-1.1220961654558779,5.142421844601631,0.006606744,0.0003,0.40740054845809937,1330,0.2,-0.005749481989187189,,
135,318.68,227,276480,1217,4.3,0.5498019456863403,0.110693359375,-1.287762275338173,3.134762703254819,0.009348731,0.0003,0.29651516675949097,1340,0.2,-0.007687522115884349,,
136,317.11,227,278528,1225,4.2,0.6615301370620728,0.110595703125,-1.0810123331844808,3.1194438971579075,0.011201759,0.0003,0.33476269245147705,1350,0.2,-0.009194958477746696,,
,,,280000,,,2.8079721927642822,0.082373046875,-1.291112446784973,4.383912051282823,0.008143473,0.0003,0.3742193579673767,1360,0.2,-0.00811451707559172,18.0,436.6
137,325.55,226,280576,1239,5.1,,,,,,,,,,,,
138,327.54,226,282624,1247,5.7,2.386009693145752,0.10419921875,-1.1270802151411772,4.889226424321532,0.008870948,0.0003,0.37454813718795776,1370,0.2,-0.010152660540188662,,
139,327.91,226,284672,1255,5.9,0.7726507186889648,0.0943359375,-1.1325588366016746,3.5319215577095746,0.006888816,0.0003,0.39267516136169434,1380,0.2,-0.00831812056421768,,
140,325.48,226,286720,1263,5.3,1.330898642539978,0.06865234375,-1.1150782722979784,4.060669614747167,0.007893173,0.0003,0.5631223917007446,1390,0.2,-0.0074699171906104315,,
141,324.67,227,288768,1270,5.0,1.044853925704956,0.08818359375,-1.0451287351548673,3.9907650830224157,0.009997671,0.0003,0.5859808921813965,1400,0.2,-0.007879907512688078,,
,,,290000,,,0.6659876108169556,0.054296875,-1.0466170426458121,3.153488671220839,0.0036676694,0.0003,0.757059633731842,1410,0.2,-0.004623144173820037,2.0,272.0
142,331.33,226,290816,1282,5.6,,,,,,,,,,,,
143,322.59,226,292864,1290,5.0,1.2793790102005005,0.063427734375,-1.091493520885706,6.177421579509973,0.006391857,0.0003,0.2712547183036804,1420,0.2,-0.007609946103184484,,
144,317.63,227,294912,1298,4.4,0.30680176615715027,0.06875,-1.2054715156555176,3.4214034946635365,0.007996,0.0003,0.6336996555328369,1430,0.2,-0.005370107528869994,,
