rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
,,,,,40000,0.0023293832506169564,-0.01279853843152523,0.9993460774421692,0.0014073332,190,0.0003,-0.194308850588277,0.02412109375,0.2,-2.580135187599808e-05,-10.0,45.0
182.35,752,54,-10.0,20,40960,,,,,,,,,,,,
182.35,753,57,-10.0,21,43008,0.2379979298915714,0.0049050659872591496,0.9567165374755859,0.0025255065,200,0.0003,-0.21678554597310723,0.024072265625,0.2,-0.0029742557351710277,,
181.32,753,59,-10.0,22,45056,0.002138870867929654,-0.0012561233015730977,0.9994009137153625,0.0014307045,210,0.0003,-0.20535216936841608,0.009521484375,0.2,0.0006223949050763622,,
181.32,753,62,-10.0,23,47104,0.232711412194476,0.026621542870998383,0.9591659903526306,0.0039168927,220,0.0003,-0.243861977243796,0.032568359375,0.2,-0.0023405135667417198,,
179.9,753,65,-10.0,24,49152,0.0017466097116994206,0.003956426866352558,0.9995361566543579,0.0014482345,230,0.0003,-0.23020170712843538,0.022216796875,0.2,-0.0015689955209381879,,
,,,,,50000,0.2311169026987045,0.0047480021603405476,0.959200382232666,0.0014692895,240,0.0003,-0.21594527852721512,0.027490234375,0.2,-0.002250158053357154,-10.0,187.0
182.74,748,68,-10.0,25,51200,,,,,,,,,,,,
181.32,749,71,-10.0,26,53248,0.0020497302682997544,-0.0008193147950805724,0.9994732141494751,0.0024504228,250,0.0003,-0.23273419607430695,0.0328125,0.2,-0.0010889055920415558,,
181.32,749,73,-10.0,27,55296,0.22363833940034966,0.006473736837506294,0.9580656886100769,0.0012399957,260,0.0003,-0.19019971950910985,0.017138671875,0.2,-0.002789859630865976,,
181.32,750,76,-10.0,28,57344,0.0016277628002171695,-0.010044354014098644,0.9995333552360535,0.0040184865,270,0.0003,-0.21642758091911674,0.027587890625,0.2,-0.001157915877411142,,
182.74,751,79,-10.0,29,59392,0.0016556290130210981,0.0038028741255402565,0.9995708465576172,0.0019635996,280,0.0003,-0.2043886086437851,0.0162109375,0.2,-0.00042971736402250824,,
,,,,,60000,0.0015094025828148005,-2.1384854335337877e-05,0.9996625781059265,0.0013902339,290,0.0003,-0.21863842513412238,0.00830078125,0.2,0.0006394555704900995,-10.0,187.0
182.68,747,82,-10.0,30,61440,,,,,,,,,,,,
184.1,747,84,-10.0,31,63488,0.0024784497076325352,0.00036552181700244546,0.9995381236076355,0.0016939536,300,0.0003,-0.2145743849221617,0.01650390625,0.2,-0.0006649140254012309,,
184.1,749,87,-10.0,32,65536,0.0008901556140699541,0.0107217812910676,0.9998033046722412,0.0014051932,310,0.0003,-0.21388682387769223,0.01796875,0.2,0.00039873813220765443,,
185.52,749,90,-10.0,33,67584,0.0010838427313956344,-0.004932933021336794,0.999772846698761,0.0017072463,320,0.0003,-0.22172865839675068,0.02451171875,0.2,-0.0016627086588414386,,
185.52,749,92,-10.0,34,69632,0.0008809967941942887,-0.012225075624883175,0.999829888343811,0.0010602608,330,0.0003,-0.19439106872305273,0.027001953125,0.2,-0.000941495479492005,,
,,,,,70000,0.0006874486273545699,0.0010382269974797964,0.9998694658279419,0.00024690048,340,0.0003,-0.17872754083946346,0.01376953125,0.2,-4.7711574006825684e-05,-10.0,187.0
185.52,746,96,-10.0,35,71680,,,,,,,,,,,,
186.94,746,98,-10.0,36,73728,0.000654860400754842,-0.0069246478378772736,0.9998809099197388,0.0024182685,350,0.0003,-0.21143841450102627,0.02412109375,0.2,-0.0007455738406861201,,
186.94,747,101,-10.0,37,75776,0.0006246163403375249,-0.0008294004364870489,0.9998905062675476,0.0029796502,360,0.0003,-0.235825528902933,0.030078125,0.2,-0.0006945517321582884,,
186.94,748,103,-10.0,38,77824,0.0006835092889104999,-0.008936629630625248,0.9998818635940552,0.0010980072,370,0.0003,-0.20757247619330882,0.023486328125,0.2,-0.00014350080164149404,,
187.0,749,106,-10.0,39,79872,0.0006037164028157349,0.003480049781501293,0.9999001622200012,0.0038602313,380,0.0003,-0.20567460367456078,0.032763671875,0.2,-0.001638802801608108,,
,,,,,80000,0.0006019736934149478,-0.004058943595737219,0.9998984932899475,0.0024065797,390,0.0003,-0.24393541510216893,0.035009765625,0.2,-0.0010284333679010161,-10.0,187.0
187.0,746,109,-10.0,40,81920,,,,,,,,,,,,
187.0,747,112,-10.0,41,83968,0.0006009556445860653,-0.001836742041632533,0.9998985528945923,0.0014548295,400,0.0003,-0.18778636949136854,0.022705078125,0.2,-0.0010557625922956505,,
187.0,747,115,-10.0,42,86016,0.0006085617219014239,-0.005325742065906525,0.9999001026153564,0.0019419758,410,0.0003,-0.21235237121582032,0.02490234375,0.2,-0.0016225571438553744,,
187.0,747,117,-10.0,43,88064,0.0005414723061221594,-0.002492498606443405,0.9999107122421265,0.0006662397,420,0.0003,-0.191042889514938,0.011181640625,0.2,0.00035052177554462105,,
,,,,,90000,0.0005424479199291454,-0.002352140611037612,0.9999106526374817,0.002756611,430,0.0003,-0.20992711738217623,0.032177734375,0.2,-0.0010026344578363932,-10.0,187.0
187.0,745,120,-10.0,44,90112,,,,,,,,,,,,
187.0,746,123,-10.0,45,92160,0.0004981455803772406,-0.009584455750882626,0.9999155402183533,0.00043438465,440,0.0003,-0.16988490289077163,0.015673828125,0.2,-0.00015902590530458838,,
187.0,747,126,-10.0,46,94208,0.000514533818613927,0.0016831894172355533,0.9999155402183533,0.0015826705,450,0.0003,-0.1957701205275953,0.012255859375,0.2,0.00018796985532389953,,
187.0,747,128,-10.0,47,96256,0.0005895914841630656,-0.004021213389933109,0.9999054074287415,0.0011296477,460,0.0003,-0.1983380639925599,0.02275390625,0.2,-4.254490049788728e-05,,
186.96,747,131,-10.0,48,98304,0.0005402637446650261,-0.003029993735253811,0.9999123215675354,0.0012277418,470,0.0003,-0.15893866117112337,0.012353515625,0.2,4.354824195615947e-05,,
,,,,,100000,0.001029919571510618,0.0013254903024062514,0.999811589717865,0.0022733468,480,0.0003,-0.1453137125587091,0.014697265625,0.2,-0.0001730602409224957,-10.0,187.0
186.96,745,134,-10.0,49,100352,,,,,,,,,,,,
